what	WP	what
wrong	JJ	wrong
people	NNS	people
were	VBD	be
n't	RB	n't
blown	VBN	blow
away	RP	away
action	NN	action
car	NN	car
sequences	NNS	sequence
jessica	NN	<unknown>
simpsons	NNS	<unknown>
hot	JJ	hot
body	NN	body
majorly	RB	<unknown>
screwed	VBD	screw
head	NN	head
course	NN	course
film	NN	film
is	VBZ	be
n't	RB	n't
masterpiece	NN	masterpiece
do	VBP	do
n't	RB	n't
think	VB	think
aiming	VBG	aim
fun	NN	fun
funny	NN	funny
never	RB	never
watched	VBD	watch
younger	JJR	young
recently	RB	recently
saw	VBD	see
episode	NN	episode
watched	VBD	watch
felt	VBN	feel
kind	NN	kind
atmosphere	NN	atmosphere
seats	NNS	seat
practically	RB	practically
shaking	VBG	shake
car	NN	car
sequences	NNS	sequence
good	JJ	good
did	VBD	do
n't	RB	n't
bore	VB	bore
drag	NN	drag
like	IN	like
scenes	NNS	scene
2fast	JJ	<unknown>
2furious	JJ	<unknown>
jessica	NN	<unknown>
simpson	NN	<unknown>
plain	RB	plain
hot	JJ	hot
just	RB	just
wish	VBP	wish
used	JJ	used
more	JJR	more
action	NN	action
sequences	NNS	sequence
all	PDT	all
all	DT	all
hell	NN	hell
time	NN	time
watching	VBG	watch
again	RB	again
soon	RB	soon
buy	VB	buy
dvd	NN	<unknown>
people	NNS	people
enjoy	VBP	enjoy
