i	NP	i
went	VBD	go
film	NN	film
low	JJ	low
expectations	NNS	expectation
but	CC	but
hoping	VBG	hope
charmed	VBD	charm
seeing	VBG	see
home	NN	home
town	NN	town
film	NN	film
sadly	RB	sadly
that	DT	that
's	VBZ	be
all	DT	all
got	VBN	get
story	NN	story
covers	VBZ	cover
familiar	JJ	familiar
territory	NN	territory
high	JJ	high
school	NN	school
reunion	NN	reunion
but	CC	but
plot	VB	plot
convoluted	JJ	convoluted
supernatural	JJ	supernatural
element	NN	element
adds	VBZ	add
little	RB	little
well	RB	well
worn	VBN	wear
theme	NN	theme
though	IN	though
quality	NN	quality
acting	VBG	act
good	JJ	good
overall	JJ	overall
content	NN	content
film	NN	film
appalling	JJ	appalling
sexism	NN	sexism
film	NN	film
blatant	JJ	blatant
women	NNS	woman
apparently	RB	apparently
unfulfilled	JJ	unfulfilled
unless	IN	unless
married	JJ	married
procreating	VBG	procreate
though	IN	though
couched	VBN	couch
as	IN	as
post	NN	post
feminist	JJ	feminist
choice	NN	choice
worse	RBR	worse
still	RB	still
racism	NN	racism
shrill	JJ	shrill
jewish	JJ	Jewish
mother	NN	mother
black	JJ	black
man	NN	man
still	RB	still
lives	VBZ	live
home	RB	home
gratuitous	JJ	gratuitous
cruelty	NN	cruelty
tormenting	VBG	torment
class	NN	class
geek	NN	geek
ashamed	JJ	ashamed
characters	NNS	character
thought	VBD	think
represent	VB	represent
inhabitants	NNS	inhabitant
city	NN	city
kalamazoo	NN	<unknown>
writers	NNS	writer
abashed	VBD	abash
having	VBG	have
brought	VBN	bring
broad	JJ	broad
cruel	JJ	cruel
stereotypes	NNS	stereotype
screen	NN	screen
