this	DT	this
film	NN	film
just	RB	just
plain	RB	plain
horrible	JJ	horrible
john	NN	john
ritter	NN	<unknown>
doing	VBG	do
pratt	NN	<unknown>
falls	VBZ	fall
75	CD	@card@
%	NN	%
actors	NNS	actor
delivering	VBG	deliver
lines	NNS	line
as	IN	as
reading	VBG	read
cue	NN	cue
cards	NNS	card
poor	JJ	poor
editing	VBG	edit
horrible	JJ	horrible
sound	NN	sound
mixing	VBG	mix
dialogue	NN	dialogue
tough	JJ	tough
pick	NN	pick
up	RB	up
places	VBZ	place
background	NN	background
noise	NN	noise
plot	NN	plot
really	RB	really
goes	VBZ	go
did	VBD	do
n't	RB	n't
think	VB	think
i	NP	i
'd	MD	will
say	VB	say
but	CC	but
dorothy	JJ	<unknown>
stratten	NN	<unknown>
not	RB	not
worst	JJS	bad
actress	NN	actress
film	NN	film
least	JJS	least
3	CD	3
suck	VBP	suck
more	JJR	more
patti	NN	<unknown>
hansen	NN	<unknown>
delivers	VBZ	deliver
lines	NNS	line
passion	NN	passion
ben	NN	ben
stein	NN	stein
started	VBD	start
wonder	NN	wonder
was	VBD	be
n't	RB	n't
dead	JJ	dead
inside	IN	inside
bogdanovich	NP	Bogdanovich
's	POS	's
kids	NNS	kid
awful	JJ	awful
oldest	JJS	old
definitely	RB	definitely
reading	VBG	read
lines	NNS	line
cue	NN	cue
card	NN	card
seriously	RB	seriously
horrible	JJ	horrible
there	EX	there
's	VBZ	be
reason	NN	reason
bogdanovich	NP	Bogdanovich
could	MD	could
n't	RB	n't
project	VB	project
4	CD	4
years	NNS	year
later	RBR	later
do	VBP	do
n't	RB	n't
watch	VB	watch
television	NN	television
listings	NNS	listing
cancel	VB	cancel
cable	NN	cable
friend	NN	friend
suggests	VBZ	suggest
reconsider	VB	reconsider
friendship	NN	friendship
spouse	NN	spouse
wants	VBZ	want
watch	VB	watch
you	PP	you
're	VBP	be
better	JJR	good
finding	NN	finding
soulmate	NN	soulmate
i	NP	i
'd	MD	will
gouge	VB	gouge
eyes	NNS	eye
lawn	NN	lawn
darts	NN	darts
than	IN	than
sit	NN	sit
piece	NN	piece
garbage	NN	garbage
again	RB	again
sum	NN	sum
film	NN	film
up	IN	up
word	NN	word
word	NN	word
suckotrocity	NN	<unknown>
