i	NP	i
rated	VBD	rate
series	NN	series
perfect	JJ	perfect
10	CD	@card@
outstanding	JJ	outstanding
consistently	RB	consistently
high	JJ	high
quality	NN	quality
story	NN	story
character	NN	character
development	NN	development
not	RB	not
episode	NN	episode
season	NN	season
10	CD	@card@
final	JJ	final
episode	NN	episode
10th	JJ	10th
season	NN	season
"	``	"
unending	JJ	unending
"	''	"
certainly	RB	certainly
appear	VBP	appear
asgard	NN	<unknown>
killed	VBD	kill
very	RB	very
rushed	VBN	rush
unconvincing	JJ	unconvincing
very	JJ	very
unceremonious	JJ	unceremonious
fashion	NN	fashion
left	VBD	leave
disbelief	NN	disbelief
extremely	RB	extremely
rushed	VBD	rush
end	NN	end
series	NN	series
it	PP	it
's	VBZ	be
obvious	JJ	obvious
many	JJ	many
story	NN	story
arcs	NNS	arc
originally	RB	originally
scheduled	VBN	schedule
occur	VBP	occur
least	JJS	least
more	JJR	more
season	NN	season
guess	NN	guess
rapidly	RB	rapidly
accelerated	VBD	accelerate
stories	NNS	storey
position	NN	position
stargate	NN	<unknown>
sg	NN	<unknown>
1	CD	1
franchise	NN	franchise
upcoming	JJ	upcoming
direct	JJ	direct
dvd	NN	<unknown>
moves	NNS	move
unless	IN	unless
asgard	NN	<unknown>
return	NN	return
future	NN	future
sg	NN	<unknown>
1	CD	1
very	RB	very
good	JJ	good
explanation	NN	explanation
"	``	"
apparent	JJ	apparent
"	''	"
extinction	NN	extinction
think	VBP	think
fans	NNS	fan
cheated	VBD	cheat
poor	JJ	poor
clean	JJ	clean
up	RB	up
loose	RB	loose
ends	VBZ	end
poor	JJ	poor
end	NN	end
brilliant	JJ	brilliant
sci	NN	<unknown>
fi	NN	<unknown>
series	NN	series
