this	DT	this
documentary	NN	documentary
missed	VBD	miss
opportunity	NN	opportunity
2004	CD	@card@
definitely	RB	definitely
going	VBG	go
watch	NN	watch
repeat	NN	repeat
really	RB	really
sympathised	VBD	sympathise
main	JJ	main
character	NN	character
film	NN	film
true	RB	true
milder	JJR	mild
condition	NN	condition
skin	NN	skin
problem	NN	problem
dystrophic	JJ	dystrophic
epidermolysis	NN	<unknown>
bullosa	NN	<unknown>
eb	NN	<unknown>
sad	JJ	sad
amusing	JJ	amusing
very	JJ	very
emotional	JJ	emotional
documentary	NN	documentary
boy	NN	boy
terrible	JJ	terrible
skin	NN	skin
disorder	NN	disorder
jonny	NN	<unknown>
kennedy	NP	Kennedy
speaks	VBZ	speak
like	IN	like
kid	NN	kid
wasting	VBG	waste
vocal	JJ	vocal
muscle	NN	muscle
never	RB	never
went	VBD	go
puberty	NN	puberty
but	CC	but
36	CD	@card@
years	NNS	year
old	JJ	old
most	JJS	most
sympathising	VBG	sympathise
moments	NNS	moment
seeing	VBG	see
terrible	JJ	terrible
condition	NN	condition
pealing	VBG	peal
bandages	NNS	bandage
jonny	NN	<unknown>
quite	RB	quite
naughty	JJ	naughty
sense	NN	sense
humour	NN	humour
narrated	VBD	narrate
grave	JJ	grave
showing	VBG	show
body	NN	body
coffin	NN	coffin
tells	VBZ	tell
story	NN	story
help	NN	help
mother	NN	mother
edna	NP	Edna
kennedy	NP	Kennedy
older	JJR	old
brother	NN	brother
celebrity	NN	celebrity
model	NN	model
jonny	NN	<unknown>
's	POS	's
supporter	NN	supporter
nell	NN	<unknown>
mcandrew	NNS	<unknown>
won	VBD	win
baftas	NNS	<unknown>
best	JJS	good
editing	VBG	edit
best	JJS	good
new	JJ	new
director	NN	director
factual	JJ	factual
nominated	VBD	nominate
best	RBS	well
sound	JJ	sound
factual	JJ	factual
flaherty	NN	<unknown>
documentary	NN	documentary
award	NN	award
number	NN	number
10	CD	@card@
100	CD	@card@
greatest	JJ	greatest
tv	NN	tv
treats	VBZ	treat
2004	CD	@card@
documentary	NN	documentary
