what	WP	what
's	VBZ	be
all	DT	all
negative	JJ	negative
comments	NNS	comment
having	VBG	have
seen	VBN	see
film	NN	film
time	NN	time
tonight	RB	tonight
say	VBP	say
good	JJ	good
holiday	NN	holiday
comedy	NN	comedy
sure	RB	sure
brighten	VB	brighten
up	RP	up
any	DT	any
lonely	JJ	lonely
person	NN	person
's	POS	's
day	NN	day
saw	NN	saw
drew	VBD	draw
ben	NN	ben
affleck	NN	<unknown>
end	NN	end
up	IN	up
spending	NN	spending
holidays	NNS	holiday
wanted	VBD	want
you	PP	you
'll	MD	will
want	VB	want
know	VB	know
though	IN	though
liked	VBN	like
tom	NN	tom
james	NNS	<unknown>
gandolfini	NN	<unknown>
alicia	NN	<unknown>
christina	NN	<unknown>
applegate	NNS	<unknown>
awhile	RB	awhile
ask	VBP	ask
real	JJ	real
snobs	NNS	snob
however	RB	however
film	NN	film
did	VBD	do
make	VB	make
smile	NN	smile
feel	VBP	feel
good	JJ	good
inside	JJ	inside
wrap	NN	wrap
up	IN	up
i	NP	i
'd	MD	will
like	VB	like
say	VB	say
mike	NN	mike
mitchell	NNS	<unknown>
scored	VBD	score
pure	JJ	pure
holiday	NN	holiday
hit	VBD	hit
conclusion	NN	conclusion
highly	RB	highly
recommend	VBP	recommend
good	JJ	good
holiday	NN	holiday
comedy	NN	comedy
sure	RB	sure
brighten	VB	brighten
up	RP	up
any	DT	any
lonely	JJ	lonely
person	NN	person
's	POS	's
day	NN	day
any	DT	any
ben	NP	ben
affleck	NN	<unknown>
christina	NN	<unknown>
applegate	NN	<unknown>
fan	NN	fan
has	VBZ	have
n't	RB	n't
seen	VBN	see
