oh	UH	oh
god	NN	god
begin	VB	begin
bad	JJ	bad
acting	VBG	act
characters	NNS	character
just	RB	just
do	VBP	do
n't	RB	n't
care	VB	care
american	JJ	American
british	JJ	British
think	NN	think
america	NN	<unknown>
enormous	JJ	enormous
forest	NN	forest
midlands	NNS	midland
big	JJ	big
fault	NN	fault
driving	VBG	drive
all	DT	all
night	NN	night
woods	NNS	wood
unless	IN	unless
going	VBG	go
around	IN	around
they	PP	they
'd	VBD	have
scotland	NN	<unknown>
come	VB	come
morning	NN	morning
whiny	JJ	whiny
knocks	VBZ	knock
poor	JJ	poor
wandering	VBG	wander
woman	NN	woman
they	PP	they
're	VBP	be
mobiles	NNS	mobile
do	VBP	do
n't	RB	n't
work	VB	work
split	NN	split
up	IN	up
course	NN	course
make	VBP	make
easier	JJR	easy
picked	VBN	pick
looking	VBG	look
house	NN	house
middle	JJ	middle
stay	NN	stay
'	''	'
care	NN	care
'	POS	'
unconscious	JJ	unconscious
woman	NN	woman
than	IN	than
make	VB	make
comfortable	JJ	comfortable
cushion	NN	cushion
head	NN	head
cover	VB	cover
up	RP	up
blooming	VBG	bloom
road	NN	road
just	RB	just
leave	VB	leave
lying	VBG	lie
hard	JJ	hard
road	NN	road
while	IN	while
make	NN	make
100	CD	@card@
yrds	NNS	<unknown>
away	RB	away
all	DT	all
time	NN	time
camper	NN	camper
van	NN	van
horny	JJ	horny
angels	NNS	angel
supposed	VBN	suppose
desired	VBD	desire
human	JJ	human
kind	NN	kind
much	RB	much
ejected	VBN	eject
heaven	NN	heaven
live	VBP	live
embark	VB	embark
sexual	JJ	sexual
relations	NNS	relation
any	DT	any
men	NNS	man
encounter	VBP	encounter
no	RB	no
bite	VB	bite
huge	JJ	huge
chunks	NNS	chunk
rip	VBP	rip
heads	NNS	head
think	VBP	think
missing	JJ	missing
point	NN	point
not	RB	not
gorgeous	JJ	gorgeous
sexually	RB	sexually
deprived	VBN	deprive
angels	NNS	angel
cannabalistic	JJ	<unknown>
vampires	NNS	vampire
as	IN	as
tom	NN	tom
savini	NNS	<unknown>
saying	VBG	say
breath	NN	breath
takingly	JJ	<unknown>
beautiful	JJ	beautiful
well	NN	well
gals	NNS	gal
good	JJ	good
bodies	NNS	body
but	CC	but
nothing	NN	nothing
special	JJ	special
face	NN	face
dept	NNS	<unknown>
lead	VBP	lead
role	NN	role
far	RB	far
more	RBR	more
pretty	RB	pretty
than	IN	than
called	VBN	call
irresistible	JJ	irresistible
sirens	NNS	siren
rubbish	JJ	rubbish
film	NN	film
waste	NN	waste
2	CD	2
30	CD	@card@
local	JJ	local
library	NN	library
