this	DT	this
most	RBS	most
enjoyable	JJ	enjoyable
do	VBP	do
n't	RB	n't
seriously	RB	seriously
bit	VBN	bite
dated	JJ	dated
effects	NNS	effect
lame	JJ	lame
but	CC	but
enjoyable	JJ	enjoyable
giant	JJ	giant
crabs	NNS	crab
attack	VBP	attack
girl	NN	girl
oh	UH	oh
crabs	NNS	crab
sing	VBP	sing
japanese	JJ	Japanese
amazingly	RB	amazingly
bad	JJ	bad
ending	NN	ending
telegraphed	VBD	telegraph
entire	JJ	entire
film	NN	film
hideously	RB	hideously
awesome	JJ	awesome
predictable	JJ	predictable
but	CC	but
seeing	VBG	see
final	JJ	final
fight	NN	fight
leave	VB	leave
rolling	VBG	roll
seat	NN	seat
do	VBP	do
n't	RB	n't
film	NN	film
chance	NN	chance
love	VBP	love
susan	JJ	<unknown>
george	NN	<unknown>
fun	NN	fun
watch	NN	watch
yes	RB	yes
does	VBZ	do
appear	VB	appear
naked	JJ	naked
daughter	NN	daughter
is	VBZ	be
n't	RB	n't
quite	RB	quite
worth	JJ	worth
putting	VBG	put
up	RP	up
but	CC	but
does	VBZ	do
attacked	VBN	attack
giant	JJ	giant
crabs	NNS	crab
size	VBP	size
large	JJ	large
cats	NNS	cat
2	CD	2
but	CC	but
love	VB	love
as	IN	as
god	NN	god
but	CC	but
entertainment	NN	entertainment
7	CD	7
did	VBD	do
mention	VB	mention
giant	JJ	giant
crabs	NNS	crab
