the	DT	the
perfectly	RB	perfectly
stupid	JJ	stupid
weapon	NN	weapon
think	VBP	think
guys	NNS	guy
dancing	VBG	dance
beginning	VBG	begin
steven	JJ	<unknown>
segal	NN	<unknown>
's	POS	's
intented	JJ	<unknown>
mock	JJ	mock
jeff	NNS	<unknown>
doing	VBG	do
forms	NNS	form
dance	NN	dance
music	NN	music
beginning	VBG	begin
stupid	JJ	stupid
plot	NN	plot
predictable	JJ	predictable
fights	NNS	fight
fair	JJ	fair
jeff	NP	Jeff
acts	NNS	act
as	RB	as
well	RB	well
as	IN	as
sofa	NN	sofa
beats	VBZ	beat
sort	NN	sort
weapon	NN	weapon
scene	NN	scene
