i	NP	i
saw	VBD	see
trailer	NN	trailer
film	NN	film
looked	VBD	look
great	JJ	great
went	VBD	go
bought	VBN	buy
mistake	NN	mistake
acting	VBG	act
shambles	NN	shambles
special	JJ	special
effects	NNS	effect
look	VBP	look
like	IN	like
would	MD	would
n't	RB	n't
place	VB	place
school	NN	school
play	NN	play
characters	NNS	character
stupid	JJ	stupid
film	NN	film
cringe	NN	cringe
minute	NN	minute
screen	NN	screen
unfortunately	RB	unfortunately
all	RB	all
often	RB	often
as	IN	as
story	NN	story
forget	VBP	forget
warning	NN	warning
do	VBP	do
n't	RB	n't
waste	VB	waste
any	DT	any
money	NN	money
all	DT	all
film	NN	film
worst	JJS	bad
things	NNS	thing
seen	VBN	see
reason	NN	reason
like	IN	like
film	NN	film
watch	NN	watch
troll	VBP	troll
2	CD	2
probably	RB	probably
enjoy	VBP	enjoy
as	RB	as
well	RB	well
