i	NP	i
glad	JJ	glad
jim	NN	<unknown>
carrey	NN	<unknown>
film	NN	film
top	NN	top
was	VBD	be
n't	RB	n't
goal	NN	goal
character	NN	character
like	IN	like
all	DT	all
wanting	VBG	want
more	RBR	more
better	RBR	well
things	NNS	thing
happen	VB	happen
expecting	VBG	expect
god	NN	god
deliver	VB	deliver
morgan	NN	<unknown>
freeman	NN	freeman
great	JJ	great
god	NN	god
sense	NN	sense
humor	NN	humor
genuine	JJ	genuine
sense	NN	sense
love	NN	love
yet	CC	yet
ready	JJ	ready
little	JJ	little
vacation	NN	vacation
opportunity	NN	opportunity
presents	VBZ	present
itself	PP	itself
thought	VBD	think
jennifer	NN	<unknown>
aniston	NN	<unknown>
's	POS	's
character	NN	character
little	RB	little
too	RB	too
vulnerable	JJ	vulnerable
understanding	NN	understanding
carry	NN	carry
's	VBZ	be
basically	RB	basically
self	JJ	self
centered	VBN	center
tv	NN	tv
anchorman	NN	anchorman
wanna	VBP	wanna
but	CC	but
that	WDT	that
's	VBZ	be
way	RB	way
written	VBN	write
think	VBP	think
previews	NNS	preview
ruined	VBN	ruin
potentially	RB	potentially
very	RB	very
funny	JJ	funny
scenes	NNS	scene
saw	NN	saw
knew	VBD	know
coming	VBG	come
happened	VBN	happen
read	NN	read
number	NN	number
reviews	VBZ	review
people	NNS	people
looking	VBG	look
little	RB	little
too	RB	too
deep	JJ	deep
summer	NN	summer
comedy	NN	comedy
not	RB	not
meant	VBD	mean
solve	VB	solve
problems	NNS	problem
world	NN	world
although	IN	although
few	JJ	few
messages	NNS	message
all	DT	all
heart	NN	heart
funny	JJ	funny
film	NN	film
