what	WP	what
disappointment	NN	disappointment
film	NN	film
trying	VBG	try
copy	NN	copy
'	POS	'
cutting	VBG	cut
edge	NN	edge
'	POS	'
comedy	NN	comedy
but	CC	but
direction	NN	direction
script	NN	script
sloppy	JJ	sloppy
sickly	JJ	sickly
sentimental	JJ	sentimental
worst	JJS	bad
film	NN	film
tradition	NN	tradition
jack	NN	jack
black	NN	black
's	POS	's
acting	JJ	acting
role	NN	role
self	NN	self
indulgent	JJ	indulgent
self	NN	self
regarding	VBG	regard
characters	NNS	character
equally	RB	equally
unmasking	VBG	unmask
uninteresting	JJ	uninteresting
soundtrack	NN	soundtrack
tedious	JJ	tedious
fans	NNS	fan
black	JJ	black
but	CC	but
none	NN	none
did	VBD	do
more	JJR	more
than	IN	than
mange	NN	mange
forced	VBN	force
titter	NN	titter
duration	NN	duration
did	VBD	do
feel	VB	feel
needed	VBN	need
make	VBP	make
mistake	NN	mistake
not	RB	not
watch	VBP	watch
films	NNS	film
reading	VBG	read
reviews	NNS	review
more	RBR	more
carefully	RB	carefully
drunk	JJ	drunk
read	VBN	read
script	NN	script
signing	VBG	sign
up	RP	up
drivel	NN	drivel
