how	WRB	how
say	VBP	say
bad	JJ	bad
loved	VBN	love
saw	NN	saw
3	CD	3
reasons	VBZ	reason
1	CD	1
story	NN	story
intrigued	VBD	intrigue
2	CD	2
jessica	NN	<unknown>
alba	NN	<unknown>
3	CD	3
james	NNS	<unknown>
cameron	NN	<unknown>
ignore	VBP	ignore
bad	JJ	bad
comments	NNS	comment
watch	VBP	watch
whole	JJ	whole
season	NN	season
decide	VBP	decide
it	PP	it
's	VBZ	be
bad	JJ	bad
know	VB	know
watch	NN	watch
season	NN	season
love	NN	love
buy	NN	buy
season	NN	season
1	CD	1
as	IN	as
well	RB	well
as	IN	as
season	NN	season
2	CD	2
dvd	NNS	<unknown>
join	VBP	join
campaign	NN	campaign
season	NN	season
3	CD	3
hate	NN	hate
fox	NN	fox
i	NNS	i
'm	VBP	be
sure	JJ	sure
lot	NN	lot
"	''	"
dark	JJ	dark
angel	NN	angel
"	''	"
fans	NNS	fan
hate	VBP	hate
too	RB	too
thing	NN	thing
canning	VBG	can
good	JJ	good
shows	NNS	show
do	VBP	do
n't	RB	n't
all	RB	all
agree	VB	agree
