i	NP	i
just	RB	just
finished	VBD	finish
watching	VBG	watch
film	NN	film
honestly	RB	honestly
say	VBP	say
work	NN	work
art	NN	art
very	RB	very
surprised	VBD	surprise
overall	JJ	overall
rating	NN	rating
as	IN	as
5	CD	5
2	CD	2
not	RB	not
does	VBZ	do
guy	NN	guy
bring	VB	bring
b	NN	b
list	NN	list
ish	NNS	<unknown>
cast	VBD	cast
make	VB	make
glorious	JJ	glorious
characters	NNS	character
given	VBN	give
fantastically	RB	fantastically
diverse	JJ	diverse
story	NN	story
line	NN	line
much	RB	much
left	VBD	leave
imagination	NN	imagination
far	RB	far
too	RB	too
many	JJ	many
people	NNS	people
wanting	VBG	want
plot	NN	plot
understood	VBD	understand
handed	VBN	hand
plate	NN	plate
yet	RB	yet
films	VBZ	film
poor	JJ	poor
reviews	NNS	review
far	RB	far
too	RB	too
predictable	JJ	predictable
film	NN	film
special	JJ	special
