when	WRB	when
saw	VBD	see
stunned	VBN	stun
great	JJ	great
think	VBP	think
10	CD	@card@
star	NN	star
rating	NN	rating
sure	RB	sure
always	RB	always
top	JJ	top
5	CD	5
acting	JJ	acting
superb	JJ	superb
leonardo	NN	<unknown>
dicaprio	NN	<unknown>
kate	NNS	<unknown>
winslett	VBP	<unknown>
best	RBS	well
do	VBP	do
n't	RB	n't
think	VB	think
better	JJR	good
job	NN	job
than	IN	than
kate	JJ	<unknown>
rainy	JJ	rainy
day	NN	day
ca	MD	ca
n't	RB	n't
decide	VB	decide
rent	NN	rent
well	RB	well
love	VBP	love
all	DT	all
acting	JJ	acting
special	JJ	special
effects	NNS	effect
much	RB	much
much	RB	much
more	RBR	more
not	RB	not
seen	VBN	see
rent	NN	rent
buy	NN	buy
wo	MD	wo
n't	RB	n't
regret	VB	regret
