this	DT	this
far	RB	far
better	JJR	good
than	IN	than
original	JJ	original
jerk	VBP	jerk
highly	RB	highly
recommend	VB	recommend
like	IN	like
quirky	JJ	quirky
humor	NN	humor
incorporated	VBN	incorporate
almost	RB	almost
as	IN	as
many	JJ	many
lines	NNS	line
daytime	JJ	daytime
discourse	NN	discourse
as	IN	as
monty	JJ	<unknown>
python	NN	python
card	NN	card
game	NN	game
hobos	NNS	hobo
mr	NN	Mr
suicide	NN	suicide
scene	NN	scene
dinner	NN	dinner
table	NN	table
distaste	NN	distaste
turtle	NN	turtle
soup	NN	soup
original	JJ	original
jerk	NN	jerk
too	RB	too
choreographed	VBD	choreograph
ans	NNS	<unknown>
staged	VBD	stage
while	IN	while
like	IN	like
steve	NN	<unknown>
martin	NN	martin
like	IN	like
trying	VBG	try
hard	JJ	hard
jerk	VBP	jerk
too	RB	too
spoof	VB	spoof
enjoyed	VBN	enjoy
jerk	NN	jerk
too	RB	too
family	NN	family
friendly	JJ	friendly
unlike	IN	unlike
original	JJ	original
jerk	NN	jerk
