my	PP$	my
roommate	NN	roommate
bought	VBD	buy
documentary	NN	documentary
invited	VBD	invite
watch	VB	watch
she	PP	she
's	POS	's
china	NN	china
heard	VBD	hear
much	RB	much
9	CD	9
11	CD	@card@
wanted	VBD	want
know	VB	know
cold	JJ	cold
hard	JJ	hard
truth	NN	truth
wanted	VBD	want
tell	VB	tell
more	JJR	more
documentary	NN	documentary
felt	VBD	feel
awful	JJ	awful
watching	VBG	watch
documentary	NN	documentary
like	IN	like
reliving	VBG	relive
nightmare	NN	nightmare
still	RB	still
brings	VBZ	bring
tears	NNS	tear
eyes	NNS	eye
but	CC	but
i	NNS	i
'm	VBP	be
extremely	RB	extremely
grateful	JJ	grateful
watched	JJ	watched
documentary	NN	documentary
day	NN	day
september	NN	September
11th	JJ	11th
i	NNS	i
'm	VBP	be
sure	RB	sure
all	RB	all
remember	VBP	remember
doing	VBG	do
heard	VBD	hear
all	RB	all
think	VB	think
certain	JJ	certain
questions	NNS	question
"	''	"
why	WRB	why
"	``	"
"	``	"
how	JJ	how
"	''	"
"	''	"
what	WP	what
's	VBZ	be
going	VBG	go
"	''	"
"	``	"
oh	UH	oh
god	NN	god
"	``	"
almost	RB	almost
all	DT	all
americans	NNS	American
grateful	JJ	grateful
brave	JJ	brave
firemen	NNS	fireman
policemen	NNS	policeman
risked	VBD	risk
lives	NNS	life
save	VB	save
but	CC	but
do	VBP	do
n't	RB	n't
think	VB	think
thought	NN	thought
really	RB	really
going	VBG	go
though	IN	though
was	VBD	be
n't	RB	n't
actually	RB	actually
supposed	VBN	suppose
documentary	JJ	documentary
9	CD	9
11	CD	@card@
cameraman	NN	cameraman
just	RB	just
filming	VBG	film
typical	JJ	typical
day	NN	day
job	NN	job
just	RB	just
happened	VBD	happen
couple	NN	couple
blocks	NNS	block
away	RB	away
world	NN	world
trade	NN	trade
centers	NNS	center
got	VBD	get
outside	IN	outside
tape	NN	tape
sep	NNS	<unknown>
11th	JJ	11th
thought	VBD	think
myself	PP	myself
"	``	"
it	PP	it
's	VBZ	be
ok	VB	ok
policemen	NNS	policeman
firemen	NNS	fireman
people	NNS	people
survived	VBD	survive
"	``	"
honest	JJ	honest
thought	NN	thought
accident	NN	accident
junior	JJ	junior
year	NN	year
high	JJ	high
school	NN	school
getting	VBG	get
changed	JJ	changed
gym	NN	gym
getting	VBG	get
ready	JJ	ready
to	TO	to
science	NN	science
class	NN	class
came	VBD	come
locker	NN	locker
room	NN	room
shouting	VBG	shout
"	``	"
some	DT	some
building	NN	building
just	RB	just
got	VBD	get
bombed	VBN	bomb
new	JJ	new
york	VBP	york
"	``	"
all	RB	all
got	VBD	get
dressed	VBN	dress
quickly	RB	quickly
ran	VBD	run
classrooms	NNS	classroom
as	IN	as
watched	JJ	watched
tower	NN	tower
burning	NN	burning
tv	NN	tv
not	RB	not
15	CD	@card@
seconds	NNS	second
later	RBR	later
live	JJ	live
tv	NN	tv
does	VBZ	do
second	JJ	second
plane	NN	plane
crash	NN	crash
world	NN	world
trade	NN	trade
center	NN	center
knew	VBD	know
no	DT	no
accident	NN	accident
few	JJ	few
minutes	NNS	minute
later	RBR	later
heard	VBN	hear
pentagon	NN	pentagon
plane	NN	plane
headed	VBD	head
chicago	NN	<unknown>
but	CC	but
shot	VBD	shoot
many	JJ	many
thoughts	NNS	thought
ran	VBD	run
heads	NNS	head
kept	VBD	keep
thinking	VBG	think
"	''	"
what	WP	what
firemen	NNS	fireman
policemen	NNS	policeman
going	VBG	go
"	''	"
but	CC	but
it	PP	it
's	POS	's
procedure	NN	procedure
thought	VBD	think
they	PP	they
'll	MD	will
know	VB	know
tower	NN	tower
collapsed	VBN	collapse
knew	VBD	know
many	JJ	many
lives	NNS	life
gone	VBN	go
second	JJ	second
tower	NN	tower
crashed	VBD	crash
things	NNS	thing
never	RB	never
firemen	NNS	fireman
documentary	NN	documentary
showed	VBD	show
courage	NN	courage
confusion	NN	confusion
strength	NN	strength
real	JJ	real
raw	JJ	raw
human	JJ	human
emotions	NNS	emotion
did	VBD	do
n't	RB	n't
know	VB	know
just	RB	just
as	RB	as
scarred	VBN	scar
as	IN	as
people	NNS	people
towers	NNS	tower
heard	VBD	hear
bodies	NNS	body
collapsing	VBG	collapse
ground	NN	ground
people	NNS	people
jumping	VBG	jump
windows	NNS	window
classroom	NN	classroom
just	RB	just
crying	VBG	cry
seeing	VBG	see
