this	DT	this
awesomely	RB	awesomely
bad	JJ	bad
awesomely	RB	awesomely
embarassing	VBG	embarass
canadian	NN	Canadian
grow	VB	grow
good	JJ	good
wine	NN	wine
writers	NNS	writer
poets	NNS	poet
world	NN	world
's	POS	's
best	JJS	good
national	JJ	national
ballet	NN	ballet
rated	VBN	rate
top	JJ	top
companies	NNS	company
world	NN	world
but	CC	but
make	VB	make
bloody	JJ	bloody
awful	JJ	awful
is	VBZ	be
n't	RB	n't
especially	RB	especially
bad	JJ	bad
it	PP	it
's	VBZ	be
especially	RB	especially
typical	JJ	typical
typically	RB	typically
bad	JJ	bad
shot	NN	shot
bit	NN	bit
hotels	NNS	hotel
public	JJ	public
parks	NNS	park
thin	JJ	thin
direction	NN	direction
high	JJ	high
school	NN	school
level	NN	level
acting	VBG	act
"	``	"
gee	NN	gee
whiz	NN	whiz
lets	VBZ	let
button	NN	button
camera	NN	camera
does	VBZ	do
"	``	"
photography	NN	photography
michael	NN	<unknown>
moriarity	NN	<unknown>
intent	NN	intent
doing	VBG	do
jack	NN	jack
nicholson	NN	<unknown>
impersonation	NN	impersonation
could	MD	could
n't	RB	n't
least	JJS	least
good	JJ	good
jack	NN	jack
nicholson	NN	<unknown>
impersonation	NN	impersonation
shot	VBD	shoot
vancouver	RB	<unknown>
truly	RB	truly
loveliest	JJS	lovely
cities	NNS	city
earth	NN	earth
centre	NN	centre
yacht	NN	yacht
building	NN	building
"	``	"
plot	NN	plot
"	''	"
god	NN	god
's	VBZ	be
let	VBN	let
endemic	JJ	endemic
canadian	JJ	Canadian
inferiority	NN	inferiority
complex	JJ	complex
dictate	NN	dictate
disguised	VBN	disguise
as	IN	as
seattle	NN	Seattle
not	RB	not
mad	JJ	mad
film	NN	film
i	NNS	i
'm	VBP	be
embarassed	VBN	<unknown>
more	RBR	more
than	IN	than
little	JJ	little
ashamed	JJ	ashamed
australians	NNS	Australian
turn	VBP	turn
splendid	JJ	splendid
stuff	NN	stuff
produce	VB	produce
pretentious	JJ	pretentious
second	JJ	second
rate	NN	rate
piffle	NN	piffle
gawd	NNS	<unknown>
