when	WRB	when
think	VBP	think
cheesiest	JJS	cheesy
guilty	JJ	guilty
pleasure	NN	pleasure
type	NN	type
thing	NN	thing
think	VBP	think
'	POS	'
80s	JJ	<unknown>
slasher	NN	slasher
flicks	VBZ	flick
really	RB	really
bad	JJ	bad
slasher	NN	slasher
flicks	VBZ	flick
formulaic	JJ	formulaic
type	NN	type
film	NN	film
all	DT	all
script	NN	script
needed	VBD	need
2	CD	2
parts	NNS	part
blood	NN	blood
parts	NNS	part
nudity	NN	nudity
flash	VBP	flash
forward	RB	forward
late	JJ	late
'	''	'
90s	NN	<unknown>
early	RB	early
'	POS	'
00s	NN	<unknown>
slasher	NN	slasher
flick	NN	flick
revitalized	VBD	revitalize
success	NN	success
1996	CD	@card@
's	VBZ	be
"	``	"
scream	NN	scream
"	''	"
like	IN	like
'	''	'
80s	JJ	<unknown>
films	NNS	film
formulaic	JJ	formulaic
masking	VBG	mask
lack	NN	lack
inspiration	NN	inspiration
labelling	VBG	label
as	IN	as
"	``	"
hip	JJ	hip
tongue	NN	tongue
cheek	NN	cheek
parodies	NNS	parody
"	``	"
original	JJ	original
slasher	NN	slasher
flicks	VBZ	flick
recent	JJ	recent
blend	NN	blend
"	''	"
hip	NN	hip
parody	NN	parody
"	''	"
neo	NN	<unknown>
slasher	NN	slasher
flicks	VBZ	flick
worth	JJ	worth
seeing	VBG	see
low	JJ	low
budget	NN	budget
direct	JJ	direct
video	NN	video
"	``	"
cut	NN	cut
"	''	"
like	IN	like
most	JJS	most
"	``	"
new	JJ	new
"	''	"
slasher	NN	slasher
flicks	NNS	flick
"	``	"
cut	VBN	cut
"	''	"
relies	VBZ	rely
production	NN	production
slasher	NN	slasher
flick	NN	flick
case	NN	case
fictional	JJ	fictional
1985	CD	@card@
film	NN	film
"	``	"
hot	JJ	hot
blooded	VBN	blood
"	``	"
make	VB	make
commentary	NN	commentary
genre	NN	genre
"	``	"
hot	JJ	hot
blooded	VBN	blood
"	``	"
never	RB	never
finished	VBD	finish
production	NN	production
killings	NNS	killing
wearing	VBG	wear
mask	NN	mask
film	NN	film
's	POS	's
killer	NN	killer
scarman	NN	<unknown>
bald	JJ	bald
figure	NN	figure
mouth	NN	mouth
stitched	VBD	stitch
close	JJ	close
dark	JJ	dark
pupil	NN	pupil
less	JJR	less
eyes	NNS	eye
12	CD	@card@
years	NNS	year
later	RBR	later
group	NN	group
film	NN	film
students	NNS	student
professor	NN	professor
involved	VBD	involve
production	NN	production
decided	VBD	decide
vaults	NNS	vault
tap	VB	tap
original	JJ	original
surviving	VBG	survive
actress	NN	actress
finish	NN	finish
film	NN	film
but	CC	but
time	NN	time
film	NN	film
screened	VBD	screen
scene	NN	scene
shot	VBD	shoot
"	``	"
scarman	NN	<unknown>
"	''	"
returns	NNS	return
dies	NNS	die
quote	VBP	quote
tagline	NN	tagline
finish	NN	finish
film	NN	film
finishes	VBZ	finish
all	DT	all
sounds	VBZ	sound
really	RB	really
bad	JJ	bad
degree	NN	degree
really	RB	really
thing	NN	thing
as	IN	as
good	JJ	good
slasher	NN	slasher
flick	NN	flick
no	DT	no
character	NN	character
development	NN	development
"	``	"
new	JJ	new
"	''	"
director	NN	director
revealed	VBD	reveal
