this	DT	this
worked	VBN	work
lot	NN	lot
better	RBR	well
as	IN	as
"	``	"
mitchell	NP	Mitchell
malta	NP	Malta
"	``	"
least	JJS	least
spared	VBN	spare
sight	NN	sight
joe	NN	joe
don	NN	don
baker	NN	baker
running	VBG	run
scenic	JJ	scenic
mediterranean	JJ	Mediterranean
locale	NN	locale
clad	VBD	clad
ridiculous	JJ	ridiculous
looking	VBG	look
cowboy	NN	cowboy
outfit	VBP	outfit
not	RB	not
mention	VB	mention
acting	VBG	act
like	IN	like
old	JJ	old
west	NN	west
gunslinger	NN	gunslinger
mitchell	NP	Mitchell
mitchell	NP	Mitchell
film	NN	film
would	MD	would
n't	RB	n't
suffered	VBD	suffer
lack	NN	lack
gratuitous	JJ	gratuitous
police	NN	police
brutality	NN	brutality
either	CC	either
oh	UH	oh
well	UH	well
least	JJS	least
comic	JJ	comic
comments	NNS	comment
mike	VBP	mike
bots	NNS	bot
enjoyable	JJ	enjoyable
fare	NN	fare
as	IN	as
episode	NN	episode
mst	NN	<unknown>
ca	MD	ca
n't	RB	n't
imagine	VB	imagine
watching	VBG	watch
it	PP	it
's	VBZ	be
however	RB	however
