this	DT	this
going	VBG	go
title	NN	title
greatest	JJ	greatest
idea	NN	idea
heard	VBN	hear
thought	VBD	think
independent	JJ	independent
zombie	NN	zombie
outbreak	NN	outbreak
quest	NN	quest
group	NN	group
lone	JJ	lone
survivors	NNS	survivor
band	NN	band
plan	NN	plan
zombies	NNS	zombie
dead	RB	dead
wrong	JJ	wrong
it	PP	it
's	VBZ	be
psycho	JJ	psycho
cop	NN	cop
weakness	NN	weakness
killing	VBG	kill
female	JJ	female
arrests	NNS	arrest
gets	VBZ	get
what	WP	what
's	VBZ	be
coming	VBG	come
pack	NN	pack
zombie	NN	zombie
women	NNS	woman
rise	VBP	rise
graves	NNS	grave
order	VB	order
proper	JJ	proper
revenge	NN	revenge
as	IN	as
nothing	NN	nothing
nation	NN	nation
nor	CC	nor
county	NN	county
involved	VBD	involve
begin	VB	begin
severity	NN	severity
cinematic	JJ	cinematic
disaster	NN	disaster
caused	VBD	cause
nation	NN	nation
zombie	NN	zombie
women	NNS	woman
look	VBP	look
like	IN	like
victoria	NN	victoria
secret	NN	secret
models	NNS	model
dark	JJ	dark
eyeliner	NN	eyeliner
pale	JJ	pale
face	NN	face
zombies	NNS	zombie
but	CC	but
mindless	JJ	mindless
debatable	JJ	debatable
intelligent	JJ	intelligent
cannibalistic	JJ	cannibalistic
killing	NN	killing
machines	NNS	machine
eat	VBP	eat
as	RB	as
result	VB	result
primitive	JJ	primitive
most	RBS	most
basic	JJ	basic
needs	NNS	need
zombie	NN	zombie
women	NNS	woman
walk	VBP	walk
like	IN	like
streetwalkers	NNS	streetwalker
runway	NN	runway
models	NNS	model
talk	VBP	talk
as	IN	as
poor	JJ	poor
film	NN	film
noir	NN	noir
not	RB	not
act	VB	act
like	IN	like
real	JJ	real
zombies	NNS	zombie
sure	RB	sure
eating	VBG	eat
killing	NN	killing
but	CC	but
mindlessness	NN	mindlessness
horrible	JJ	horrible
disfigurement	NN	disfigurement
although	IN	although
very	RB	very
interesting	JJ	interesting
concept	NN	concept
great	JJ	great
satire	NN	satire
zombie	NN	zombie
genre	NN	genre
makes	VBZ	make
fun	NN	fun
genre	NN	genre
asks	VBZ	ask
question	NN	question
"	``	"
why	WRB	why
ca	MD	ca
n't	RB	n't
zombies	NNS	zombie
beautiful	JJ	beautiful
vixen	NN	vixen
killing	VBG	kill
machines	NNS	machine
"	``	"
say	VBP	say
considered	VBN	consider
really	RB	really
bad	JJ	bad
indie	NN	<unknown>
produced	VBD	produce
garage	NN	garage
junkies	NNS	junkie
not	RB	not
recommend	VBP	recommend
anybody	NN	anybody
loves	VBZ	love
zombie	NN	zombie
genres	NNS	genre
too	RB	too
much	RB	much
it	PP	it
's	VBZ	be
insult	NN	insult
as	IN	as
scarynot	NN	<unknown>
