i	NP	i
loved	VBD	love
film	NN	film
seen	VBN	see
evening	NN	evening
theatre	NN	theatre
big	JJ	big
screen	NN	screen
audience	NN	audience
laughed	VBD	laugh
loud	RB	loud
very	RB	very
interesting	JJ	interesting
things	NNS	thing
fast	JJ	fast
pace	IN	pace
most	RBS	most
enjoyable	JJ	enjoyable
as	IN	as
singer	NN	singer
musical	JJ	musical
director	NN	director
question	NN	question
section	NN	section
roby	NN	<unknown>
keeler	NN	<unknown>
's	VBZ	be
vocal	JJ	vocal
"	''	"
by	IN	by
waterfall	NN	waterfall
"	''	"
key	NN	key
modulated	VBD	modulate
suddenly	RB	suddenly
singing	VBG	sing
much	RB	much
lower	RBR	lower
very	RB	very
mellow	JJ	mellow
voice	NN	voice
bore	VBD	bear
no	DT	no
resemblance	NN	resemblance
somewhat	RB	somewhat
tin	NN	tin
like	IN	like
higher	JJR	high
twitter	NN	twitter
voice	NN	voice
used	VBD	use
all	DT	all
vocals	NNS	vocal
does	VBZ	do
know	VB	know
overdubbed	JJ	<unknown>
singer	NN	singer
sounds	NNS	sound
love	VBP	love
know	VB	know
thanks	NNS	thank
much	RB	much
