this	DT	this
film	NN	film
mediocre	JJ	mediocre
best	JJS	good
angie	NN	<unknown>
harmon	NN	<unknown>
as	IN	as
funny	JJ	funny
as	IN	as
bag	NN	bag
hammers	NNS	hammer
bitchy	JJ	bitchy
demeanor	NN	demeanor
"	''	"
law	NN	law
order	NN	order
"	``	"
carries	VBZ	carry
failed	JJ	failed
attempt	NN	attempt
comedy	NN	comedy
charlie	NN	charlie
sheen	NN	sheen
come	VBN	come
unscathed	JJ	unscathed
horrible	JJ	horrible
anti	JJ	anti
comedy	NN	comedy
positive	JJ	positive
thing	NN	thing
come	VBN	come
mess	NN	mess
charlie	NN	charlie
denise	NN	<unknown>
's	POS	's
marriage	NN	marriage
hopefully	RB	hopefully
effort	NN	effort
produces	VBZ	produce
better	JJR	good
results	NNS	result
