there	EX	there
's	VBZ	be
many	JJ	many
things	NNS	thing
fall	VBP	fall
aro	NP	Aro
tolbukhin	NP	<unknown>
en	FW	en
la	FW	la
mente	NP	Mente
del	FW	del
asesino	NN	<unknown>
inside	IN	inside
killer	NN	killer
's	POS	's
mind	NN	mind
it	PP	it
's	VBZ	be
very	RB	very
hard	JJ	hard
talk	NN	talk
giving	VBG	give
any	DT	any
kind	NN	kind
warning	NN	warning
let	NN	let
's	POS	's
just	RB	just
say	VBP	say
like	IN	like
exercise	NN	exercise
cinema	NN	cinema
but	CC	but
really	RB	really
really	RB	really
great	JJ	great
super	JJ	super
8	CD	8
black	JJ	black
white	JJ	white
shots	NNS	shot
35	CD	@card@
milimeters	NNS	<unknown>
color	JJ	color
interviews	NNS	interview
flashbacks	NNS	flashback
aro	NN	<unknown>
tolbukhin	NN	<unknown>
like	IN	like
documental	JJ	<unknown>
viceversa	NN	<unknown>
most	RBS	most
peculiar	JJ	peculiar
aspect	NN	aspect
relays	NNS	relay
doubt	NN	doubt
leaves	VBZ	leave
wondering	VBG	wonder
did	VBD	do
really	RB	really
existed	VBD	exist
follows	VBZ	follow
later	JJR	late
life	NN	life
hungarian	NN	Hungarian
sailor	NN	sailor
arrived	VBD	arrive
guatemala	NN	<unknown>
worked	VBD	work
religious	JJ	religious
mission	NN	mission
killed	VBD	kill
people	NNS	people
act	NN	act
got	VBD	get
caught	VBN	catch
death	NN	death
penalty	NN	penalty
sentenced	VBD	sentence
starts	VBZ	start
french	NN	French
documentalists	NNS	<unknown>
got	VBD	get
interested	JJ	interested
character	NN	character
interview	NN	interview
prior	JJ	prior
death	NN	death
nowadays	RB	nowadays
more	JJR	more
people	NNS	people
got	VBD	get
involved	VBN	involve
make	VBP	make
deeper	JJR	deep
research	NN	research
character	NN	character
witness	NN	witness
the	DT	the
main	JJ	main
history	NN	history
guided	VBD	guide
semi	NN	semi
slow	JJ	slow
phase	NN	phase
look	NN	look
inside	IN	inside
aros	NNS	<unknown>
mind	VBP	mind
mainly	RB	mainly
order	VB	order
decode	VB	decode
did	VBD	do
nevertheless	RB	nevertheless
important	JJ	important
thing	NN	thing
filmmakers	NNS	filmmaker
never	RB	never
gives	VBZ	give
sided	VBN	side
point	NN	point
view	NN	view
left	VBD	leave
judging	VBG	judge
all	RB	all
as	RB	as
understand	VB	understand
actions	NNS	action
clearly	RB	clearly
never	RB	never
justify	VB	justify
half	DT	half
based	VBN	base
recollecting	VBG	recollect
information	NN	information
later	RBR	later
things	NNS	thing
turn	VBP	turn
aro	NP	Aro
's	POS	's
childhood	NN	childhood
giving	VBG	give
incredible	JJ	incredible
new	JJ	new
force	NN	force
tough	NN	tough
never	RB	never
got	VBD	get
weak	JJ	weak
boring	NN	boring
do	VBP	do
n't	RB	n't
mean	VB	mean
do	VBP	do
n't	RB	n't
want	VB	want
spoil	NN	spoil
thing	NN	thing
left	VBD	leave
say	VB	say
any	DT	any
chance	NN	chance
near	RB	near
believe	VBP	believe
trip	NN	trip
more	JJR	more
than	IN	than
worthy	JJ	worthy
