i	NP	i
took	VBD	take
arbitrarily	RB	arbitrarily
library	NN	library
night	NN	night
having	VBG	have
no	DT	no
idea	NN	idea
film	NN	film
's	POS	's
cult	NN	cult
influence	NN	influence
currently	RB	currently
staged	VBD	stage
as	IN	as
musical	JJ	musical
most	JJS	most
comments	NNS	comment
target	VBP	target
it	PP	it
's	VBZ	be
moving	VBG	move
funny	JJ	funny
sad	JJ	sad
yes	NN	yes
tad	NN	tad
exploitive	JJ	exploitive
despite	IN	despite
best	JJS	good
intentions	NNS	intention
filmmakers	NNS	filmmaker
expanded	VBD	expand
chriterion	NN	<unknown>
edition	NN	edition
loved	VBN	love
came	VBD	come
think	VB	think
little	JJ	little
edie	NN	<unknown>
fall	NN	fall
class	NN	class
sort	NN	sort
disappeared	VBD	disappear
hear	VB	hear
old	JJ	old
films	NNS	film
jackie	NN	<unknown>
o	NN	o
too	RB	too
people	NNS	people
just	RB	just
do	VBP	do
n't	RB	n't
talk	VB	talk
like	VBP	like
anymore	RB	anymore
think	VB	think
as	IN	as
documentary	NN	documentary
interesting	VBG	interest
more	JJR	more
information	NN	information
home	NN	home
fell	VBD	fall
disrepute	NN	disrepute
old	JJ	old
edie	NN	<unknown>
least	RBS	least
still	RB	still
aware	JJ	aware
what	WP	what
's	VBZ	be
going	VBG	go
certain	JJ	certain
degree	NN	degree
could	MD	could
n't	RB	n't
spectacular	JJ	spectacular
home	NN	home
disintegrating	VBG	disintegrate
yet	RB	yet
film	NN	film
's	POS	's
subject	JJ	subject
life	NN	life
women	NNS	woman
constructed	VBN	construct
real	JJ	real
life	NN	life
tennesse	NN	<unknown>
williams	NNS	<unknown>
act	VBP	act
well	RB	well
worth	JJ	worth
time	NN	time
