this	DT	this
all	RB	all
star	JJ	star
cast	NN	cast
john	NN	john
candy	NN	candy
richard	NN	<unknown>
lewis	NN	lewis
ornella	NN	<unknown>
mutti	NN	<unknown>
cybill	NN	<unknown>
shepard	NN	<unknown>
jim	NN	<unknown>
belushi	NN	<unknown>
few	JJ	few
run	NN	run
amuck	NN	amuck
monte	NN	monte
carlo	NN	<unknown>
as	RB	as
well	RB	well
as	IN	as
beautiful	JJ	beautiful
european	JJ	European
locations	NNS	location
very	RB	very
funny	JJ	funny
trouble	NN	trouble
gets	VBZ	get
lie	NN	lie
protect	VB	protect
great	RB	great
highly	RB	highly
recommend	VB	recommend
well	RB	well
worth	JJ	worth
john	NN	john
candy	NN	candy
top	JJ	top
form	NN	form
crime	NN	crime
as	IN	as
family	NN	family
looking	VBG	look
great	JJ	great
family	NN	family
film	NN	film
ticket	NN	ticket
gives	VBZ	give
stellar	JJ	stellar
performances	NNS	performance
great	RB	great
acting	VBG	act
great	JJ	great
comedy	NN	comedy
great	JJ	great
timing	NN	timing
rare	JJ	rare
days	NNS	day
great	JJ	great
plot	NN	plot
great	JJ	great
mystery	NN	mystery
love	NN	love
anyways	RB	anyways
overall	RB	overall
well	RB	well
worth	JJ	worth
money	NN	money
spend	VBP	spend
kids	NNS	kid
grab	VB	grab
popcorn	NN	popcorn
juice	NN	juice
tea	NN	tea
sodas	NNS	soda
enjoy	VBP	enjoy
