i	NP	i
wish	NN	wish
say	VBP	say
unusual	JJ	unusual
it	PP	it
's	VBZ	be
banality	NN	banality
but	CC	but
usual	JJ	usual
way	NN	way
dumb	JJ	dumb
husband	NN	husband
smarter	RBR	smarter
but	CC	but
boring	JJ	boring
conventional	JJ	conventional
wife	NN	wife
idiotic	JJ	idiotic
sidekick	NN	sidekick
"	``	"
comic	JJ	comic
"	''	"
relief	NN	relief
sorely	RB	sorely
needs	VBZ	need
stale	JJ	stale
predictable	JJ	predictable
jokes	NNS	joke
more	RBR	more
predictable	JJ	predictable
reactions	NNS	reaction
laughtrack	NN	<unknown>
punctuate	VBP	punctuate
noxious	JJ	noxious
mental	JJ	mental
narcotic	NN	narcotic
's	VBZ	be
nauseatingly	RB	<unknown>
unimaginative	JJ	unimaginative
plot	NN	plot
lines	NNS	line
leave	VBP	leave
either	RB	either
physically	RB	physically
ill	RB	ill
deep	RB	deep
sleep	VB	sleep
more	RBR	more
resembling	VBG	resemble
induced	VBN	induce
coma	NN	coma
but	CC	but
while	NN	while
yet	RB	yet
gives	VBZ	give
average	JJ	average
american	NN	American
personage	NN	personage
truly	RB	truly
identify	VB	identify
"	``	"
regular	JJ	regular
"	''	"
guy	NN	guy
just	RB	just
like	IN	like
live	JJ	live
southern	JJ	southern
u	NN	u
s	NNS	<unknown>
just	RB	just
opposite	JJ	opposite
escapism	NN	escapism
obnoxious	JJ	obnoxious
character	NN	character
form	NN	form
seeing	VBG	see
television	NN	television
brutal	JJ	brutal
overkill	NN	overkill
