i	NP	i
stumbled	VBD	stumble
act	VB	act
pure	JJ	pure
dumb	JJ	dumb
luck	NN	luck
more	RBR	more
than	IN	than
decade	NN	decade
ago	RB	ago
was'nt	JJ	<unknown>
cover	NN	cover
label	NN	label
tape	NN	tape
mentioned	VBD	mention
amazed	JJ	amazed
intimidated	VBN	intimidate
shocked	JJ	shocked
eventually	RB	eventually
forgot	VBN	forget
almost	RB	almost
decade	NN	decade
later	RBR	later
happened	VBD	happen
think	NN	think
again	RB	again
went	VBD	go
bought	VBN	buy
acts	NNS	act
better	RBR	well
than	IN	than
experienced	VBN	experience
complaint	NN	complaint
while	IN	while
tank	NN	tank
police	NNS	police
going	VBG	go
on	IN	on
war	NN	war
crime	NN	crime
warranting	VBG	warrant
tanks	NNS	tank
heavy	JJ	heavy
artillery	NN	artillery
as	RB	as
though	IN	though
really	RB	really
having	VBG	have
hard	JJ	hard
time	NN	time
criminals	NNS	criminal
either	CC	either
never	RB	never
shown	VBN	show
simply	RB	simply
lie	VBP	lie
as	RB	as
appear	VB	appear
taking	VBG	take
easy	RB	easy
most	JJS	most
time	NN	time
bit	NN	bit
state	NN	state
war	NN	war
really	RB	really
propaganda	NN	propaganda
certainly	RB	certainly
not	RB	not
shown	VBN	show
as	RB	as
do	VBP	do
n't	RB	n't
think	VB	think
original	JJ	original
japanese	JJ	Japanese
version	NN	version
any	DT	any
as	RB	as
good	JJ	good
as	IN	as
americanized	JJ	<unknown>
version	NN	version
but	CC	but
regarding	VBG	regard
story	NN	story
certainly	RB	certainly
proper	JJ	proper
explanations	NNS	explanation
lost	VBD	lose
translation	NN	translation
but	CC	but
excused	VBN	excuse
