the	DT	the
reason	NN	reason
8	CD	8
10	CD	@card@
few	JJ	few
opinion	NN	opinion
perfect	JJ	perfect
little	JJ	little
b	NN	b
picture	NN	picture
taut	JJ	taut
story	NN	story
well	RB	well
told	VBD	tell
i	NNS	i
've	VBP	have
always	RB	always
intrigued	VBN	intrigue
alexander	NN	<unknown>
knox	NN	<unknown>
but	CC	but
seen	VBN	see
very	RB	very
few	JJ	few
plays	NNS	play
wilhelm	NN	<unknown>
grimm	VBD	<unknown>
sad	JJ	sad
little	JJ	little
man	NN	man
turns	VBZ	turn
monster	NN	monster
betrays	VBZ	betray
everybody	NN	everybody
ounce	NN	ounce
remorse	NN	remorse
performance	NN	performance
most	JJS	most
chilling	JJ	chilling
performances	NNS	performance
i	NNS	i
've	VBP	have
seen	VBN	see
world	NN	world
war	NN	war
2	CD	2
actors	NNS	actor
played	VBD	play
nazis	NN	<unknown>
evil	JJ	evil
types	NNS	type
films	NNS	film
occasionally	RB	occasionally
nominated	VBD	nominate
oscars	NNS	oscar
imagine	VB	imagine
war	NN	war
academy	NN	academy
felt	VBD	feel
like	IN	like
honoring	VBG	honor
performance	NN	performance
like	IN	like
like	IN	like
honoring	VBG	honor
evil	NN	evil
but	CC	but
knox	NN	<unknown>
puts	VBZ	put
kind	NN	kind
performance	NN	performance
man	NN	man
bitter	JJ	bitter
consumed	VBN	consume
guilt	NN	guilt
thinks	VBZ	think
nothing	NN	nothing
making	NN	making
suffer	VBP	suffer
still	RB	still
ca	MD	ca
n't	RB	n't
marsha	NN	<unknown>
hunt	NN	hunt
usually	RB	usually
plays	VBZ	play
filbert	NN	filbert
gibbet	NN	gibbet
social	JJ	social
butterfly	NN	butterfly
cast	VBN	cast
against	IN	against
type	NN	type
probably	RB	probably
best	JJS	good
performance	NN	performance
i	NNS	i
've	VBP	have
seen	VBN	see
too	RB	too
maybe	RB	maybe
not	RB	not
oscar	NN	oscar
worthy	JJ	worthy
but	CC	but
best	JJS	good
career	NN	career
nothing	NN	nothing
against	IN	against
enjoyed	VBN	enjoy
"	``	"
slight	JJ	slight
"	''	"
roles	NNS	role
often	RB	often
played	VBD	play
but	CC	but
proves	VBZ	prove
up	RB	up
task	VB	task
heavier	JJR	heavy
drama	NN	drama
like	IN	like
human	JJ	human
drama	NN	drama
stories	NNS	storey
stories	NNS	storey
fates	NNS	fate
suffered	VBD	suffer
hands	NNS	hand
nazis	NNS	Nazi
highly	RB	highly
recommend	VBP	recommend
fine	JJ	fine
little	JJ	little
film	NN	film
