i	NP	i
grown	VBN	grow
up	RP	up
pouring	VBG	pour
intertwined	VBN	intertwine
stories	NNS	storey
wrinkle	NN	wrinkle
time	NN	time
chronicles	VBZ	chronicle
dream	NN	dream
day	NN	day
screenwriter	NN	screenwriter
come	VBN	come
child	NN	child
sitting	VBG	sit
large	JJ	large
sofa	NN	sofa
reading	NN	reading
winkle	NN	winkle
time	NN	time
think	VBP	think
amazing	JJ	amazing
make	VBP	make
sadly	RB	sadly
enough	JJ	enough
screenwriter	NN	screenwriter
failed	VBD	fail
changing	VBG	change
characters	NNS	character
throwing	VBG	throw
lame	JJ	lame
humor	NN	humor
all	DT	all
destroying	VBG	destroy
plot	NN	plot
know	VBP	know
hard	JJ	hard
task	NN	task
change	NN	change
well	RB	well
loved	VBD	love
novel	NN	novel
but	CC	but
ca	MD	ca
n't	RB	n't
stay	VB	stay
true	JJ	true
book	NN	book
change	NN	change
way	NN	way
characters	NNS	character
think	VBP	think
act	NN	act
not	RB	not
read	VBD	read
book	NN	book
pick	VB	pick
up	RP	up
soft	JJ	soft
couch	NN	couch
let	VBD	let
imagination	NN	imagination
run	VB	run
wild	JJ	wild
