i	NP	i
got	VBD	get
good	JJ	good
laugh	NN	laugh
reading	VBG	read
all	DT	all
idiotic	JJ	idiotic
comments	NNS	comment
film	NN	film
as	IN	as
it	PP	it
's	POS	's
obvious	JJ	obvious
people	NNS	people
criticized	VBD	criticize
never	RB	never
seen	VBN	see
stupid	JJ	stupid
enough	JJ	enough
pay	NN	pay
best	JJS	good
reason	NN	reason
watch	NN	watch
elvira	NN	<unknown>
few	JJ	few
years	NNS	year
elvira	NN	<unknown>
delivered	VBN	deliver
as	IN	as
many	JJ	many
laughs	NNS	laugh
as	IN	as
it	PP	it
's	VBZ	be
ok	VB	ok
monster	NN	monster
flick	NN	flick
compared	VBN	compare
hundreds	NNS	hundred
horrendous	JJ	horrendous
american	NN	American
flicks	VBZ	flick
way	NN	way
better	RBR	well
