i	NP	i
shelf	NN	shelf
while	IN	while
housesitting	VBG	<unknown>
bored	JJ	bored
people	NNS	people
possibly	RB	possibly
10	CD	@card@
it	PP	it
's	VBZ	be
not	RB	not
just	RB	just
it	PP	it
's	VBZ	have
supposed	VBN	suppose
feel	VB	feel
good	JJ	good
redemption	NN	redemption
film	NN	film
think	VBP	think
does	VBZ	do
n't	RB	n't
work	VB	work
level	NN	level
either	CC	either
weak	JJ	weak
plot	NN	plot
bad	JJ	bad
dialogue	NN	dialogue
terrible	JJ	terrible
acting	NN	acting
there	EX	there
's	VBZ	be
just	RB	just
nothing	NN	nothing
harvey	NN	<unknown>
keitel	NN	<unknown>
decent	JJ	decent
but	CC	but
nothing	NN	nothing
work	NN	work
bridget	NN	<unknown>
fonda	NN	<unknown>
especially	RB	especially
johnathon	NN	<unknown>
schaech	NN	<unknown>
just	RB	just
terrible	JJ	terrible
plot	NN	plot
progression	NN	progression
especially	RB	especially
relationship	NN	relationship
byron	NN	<unknown>
ashley	NN	<unknown>
makes	VBZ	make
no	DT	no
sense	NN	sense
like	IN	like
writers	NNS	writer
wanted	VBD	want
plot	NN	plot
certain	JJ	certain
way	NN	way
actually	RB	actually
writing	VBG	write
necessary	JJ	necessary
bits	NNS	bit
make	VBP	make
flow	VB	flow
it	PP	it
's	POS	's
hour	NN	hour
half	NN	half
but	CC	but
that	DT	that
's	VBZ	be
90	CD	@card@
minutes	NNS	minute
life	NN	life
you	PP	you
'll	MD	will
never	RB	never
