i	NP	i
really	RB	really
disagree	VBP	disagree
guy	NN	guy
yardley	NN	<unknown>
rees	NNS	<unknown>
watched	VBD	watch
entire	JJ	entire
film	NN	film
seen	VBN	see
absolutely	RB	absolutely
stunning	JJ	stunning
scottish	JJ	Scottish
scenery	NN	scenery
best	JJS	good
shot	VBN	shoot
skye	NN	<unknown>
film	NN	film
difficult	JJ	difficult
start	NN	start
come	VBN	come
really	RB	really
poignant	JJ	poignant
whole	NN	whole
not	RB	not
big	JJ	big
budget	NN	budget
film	NN	film
film	NN	film
strong	JJ	strong
community	NN	community
feel	NN	feel
ca	MD	ca
n't	RB	n't
say	VB	say
much	RB	much
'	''	'
standard	NN	standard
'	POS	'
films	NNS	film
bore	VBD	bear
pushing	VBG	push
polished	JJ	polished
stuff	NN	stuff
again	RB	again
again	RB	again
seachd	NN	<unknown>
does	VBZ	do
n't	RB	n't
all	DT	all
really	RB	really
trying	VBG	try
offer	NN	offer
more	RBR	more
real	JJ	real
certainly	RB	certainly
more	RBR	more
gaelic	JJ	Gaelic
than	IN	than
any	DT	any
recent	JJ	recent
scottish	JJ	Scottish
film	NN	film
ok	VBP	ok
acting	VBG	act
is	VBZ	be
n't	RB	n't
style	NN	style
blockbuster	NN	blockbuster
that	WDT	that
's	VBZ	be
actors	NNS	actor
seemingly	RB	seemingly
real	JJ	real
people	NNS	people
actually	RB	actually
thought	VBD	think
key	JJ	key
roles	NNS	role
boy	NN	boy
grandfather	NN	grandfather
really	RB	really
convincing	VBG	convince
times	NNS	time
unusually	RB	unusually
beautiful	JJ	beautiful
seachd	NN	<unknown>
really	RB	really
bears	VBZ	bear
second	JJ	second
viewing	NN	viewing
many	RB	many
threads	VBZ	thread
clearer	JJR	clear
second	JJ	second
time	NN	time
really	RB	really
feed	VB	feed
ending	VBG	end
overall	JJ	overall
combination	NN	combination
music	NN	music
times	CC	times
stunning	JJ	stunning
visuals	NNS	visual
plus	CC	plus
community	NN	community
approach	NN	approach
acting	VBG	act
non	JJ	non
normal	JJ	normal
structure	NN	structure
turned	VBD	turn
seachd	RB	<unknown>
quite	RB	quite
distinctive	JJ	distinctive
memorable	JJ	memorable
film	NN	film
more	RBR	more
