this	DT	this
film	NN	film
childhood	NN	childhood
favorites	NNS	favorite
say	VBP	say
unlike	IN	unlike
films	NNS	film
liked	VBD	like
period	NN	period
thief	NN	thief
bagdad	NN	<unknown>
held	VBD	hold
it	PP	it
's	VBZ	be
quality	NN	quality
while	NN	while
grew	VBD	grow
up	RP	up
not	RB	not
merely	RB	merely
film	NN	film
enjoyed	VBD	enjoy
children	NNS	child
watched	VBD	watch
enjoyed	VBN	enjoy
adults	NNS	adult
as	IN	as
well	RB	well
drawback	NN	drawback
is	VBZ	be
not	RB	not
past	JJ	past
bad	JJ	bad
'	''	'
effects	NNS	effect
compared	VBN	compare
effects	NNS	effect
nowadays	RB	nowadays
like	IN	like
child	NN	child
remembered	VBD	remember
nothing	NN	nothing
effects	NNS	effect
course	NN	course
years	NNS	year
i	NP	i
'd	VBD	have
seen	VBN	see
film	NN	film
years	NNS	year
old	JJ	old
watches	NNS	watch
effects	NNS	effect
seeks	VBZ	seek
good	JJ	good
stories	NNS	storey
entertainment	NN	entertainment
exactly	RB	exactly
film	NN	film
provides	VBZ	provide
mind	NN	mind
film	NN	film
great	JJ	great
adventure	NN	adventure
films	NNS	film
20th	JJ	20th
century	NN	century
coming	VBG	come
think	NN	think
feel	VBP	feel
like	IN	like
indiana	NN	<unknown>
jones	NNS	<unknown>
films	NNS	film
quite	RB	quite
like	IN	like
film	NN	film
comedy	NN	comedy
romance	NN	romance
adventure	NN	adventure
all	RB	all
creates	VBZ	create
wonderful	JJ	wonderful
mixture	NN	mixture
capture	NN	capture
beginning	VBG	begin
end	NN	end
although	IN	although
film	NN	film
old	JJ	old
music	NN	music
style	NN	style
films	NNS	film
clearly	RB	clearly
not	RB	not
modern	JJ	modern
succeeds	VBZ	succeed
not	RB	not
dusty	JJ	dusty
old	JJ	old
all	RB	all
mainly	RB	mainly
great	JJ	great
story	NN	story
good	NN	good
directing	VBG	direct
good	JJ	good
acting	VBG	act
performances	NNS	performance
actors	NNS	actor
department	NN	department
sabu	NN	<unknown>
as	IN	as
abu	NP	Abu
conrad	NP	Conrad
veidt	NP	<unknown>
as	IN	as
jaffar	JJ	<unknown>
stand	NN	stand
providing	VBG	provide
comedic	JJ	comedic
chilling	JJ	chilling
elements	NNS	element
film	VBP	film
most	RBS	most
great	JJ	great
film	NN	film
although	IN	although
'	''	'
oldie	NN	oldie
'	POS	'
definitely	RB	definitely
goldie	NP	Goldie
'	POS	'
hope	NN	hope
brain	NN	brain
guts	VBZ	gut
release	NN	release
dvd	NNS	<unknown>
someday	RB	someday
8	CD	8
10	CD	@card@
