i	NP	i
did	VBD	do
n't	RB	n't
know	VB	know
expect	VB	expect
film	NN	film
well	RB	well
know	VBP	know
truly	RB	truly
awful	JJ	awful
film	NN	film
screenplay	NN	screenplay
directing	NN	directing
acting	VBG	act
equally	RB	equally
bad	JJ	bad
story	NN	story
silly	JJ	silly
stupid	JJ	stupid
director	NN	director
smart	JJ	smart
thought	NN	thought
provoking	VBG	provoke
film	NN	film
but	CC	but
did	VBD	do
n't	RB	n't
squirmed	VBN	squirm
seat	NN	seat
half	DT	half
bad	JJ	bad
focus	NN	focus
film	NN	film
film	NN	film
christians	NNS	Christian
boycott	NN	boycott
film	NN	film
instead	RB	instead
promoting	VBG	promote
it	PP	it
shabbily	RB	shabbily
waste	VB	waste
money	NN	money
not	RB	not
film	NN	film
