i	NP	i
rarely	RB	rarely
emerged	VBD	emerge
viewing	VBG	view
film	NN	film
warm	JJ	warm
happy	JJ	happy
feeling	NN	feeling
felt	VBD	feel
as	RB	as
really	RB	really
good	JJ	good
friends	NNS	friend
wonderful	JJ	wonderful
time	NN	time
thoroughly	RB	thoroughly
enjoyed	VBD	enjoy
film	NN	film
acting	VBG	act
superb	JJ	superb
although	IN	although
mention	NN	mention
nye	NN	nye
particular	JJ	particular
as	IN	as
giving	VBG	give
absolutely	RB	absolutely
faultless	JJ	faultless
performance	NN	performance
excellent	JJ	excellent
actor	NN	actor
love	VBP	love
more	JJR	more
films	NNS	film
timothy	NN	timothy
spall	NN	spall
jimmy	NN	jimmy
nail	NN	nail
favourites	NNS	favourite
always	RB	always
love	VBP	love
as	IN	as
solid	JJ	solid
performance	NN	performance
billy	NN	billy
connolly	RB	<unknown>
as	RB	as
always	RB	always
totally	RB	totally
gorgeous	JJ	gorgeous
wonderful	JJ	wonderful
ensemble	NN	ensemble
performance	NN	performance
all	DT	all
concerned	JJ	concerned
refreshing	VBG	refresh
experience	NN	experience
well	RB	well
written	VBN	write
superbly	RB	superbly
acted	VBD	act
good	JJ	good
looking	VBG	look
