i	NP	i
watched	VBD	watch
10	CD	@card@
years	NNS	year
ago	RB	ago
watched	VBD	watch
video	JJ	video
average	JJ	average
year	NN	year
it	PP	it
's	VBZ	be
type	NN	type
that	WDT	that
's	VBZ	be
timeless	JJ	timeless
themes	NNS	theme
universal	JJ	universal
yet	CC	yet
stories	NNS	storey
conversation	NN	conversation
personal	JJ	personal
it	PP	it
's	VBZ	be
very	RB	very
few	JJ	few
capture	NN	capture
frame	NN	frame
til	NN	til
credits	NNS	credit
roll	VBP	roll
despite	IN	despite
fact	NN	fact
really	RB	really
just	RB	just
very	RB	very
involving	VBG	involve
characters	NNS	character
owes	VBZ	owe
lot	RB	lot
engaging	JJ	engaging
acting	VBG	act
hawke	NN	<unknown>
delpy	NN	<unknown>
make	VBP	make
believe	VB	believe
actually	RB	actually
jesse	NN	<unknown>
celine	NN	<unknown>
saw	VBD	see
mentioned	VBN	mention
reality	NN	reality
tv	NN	tv
phenomenon	NN	phenomenon
rampant	JJ	rampant
love	NN	love
way	NN	way
just	RB	just
envelops	VBZ	envelop
audience	NN	audience
space	NN	space
makes	VBZ	make
think	VB	think
however	RB	however
jaded	VBN	jade
you	PP	you
characters	NNS	character
want	VBP	want
ride	NN	ride
train	NN	train
europe	NN	<unknown>
not	RB	not
met	VBD	meet
not	RB	not
able	JJ	able
relate	VBP	relate
maybe	RB	maybe
speaks	VBZ	speak
myself	PP	myself
friends	VBZ	friend
just	RB	just
sheer	JJ	sheer
genius	NN	genius
