i	NP	i
personally	RB	personally
liked	VBD	like
alarmed	JJ	alarmed
rating	NN	rating
's	POS	's
people	NNS	people
given	VBN	give
it	PP	it
based	VBD	base
comic	JJ	comic
book	NN	book
animated	VBD	animate
do	VB	do
n't	RB	n't
like	IN	like
comic	JJ	comic
books	NNS	book
animation	NN	animation
course	NN	course
wo	MD	wo
n't	RB	n't
like	VB	like
did	VBD	do
watch	NN	watch
bother	VB	bother
rate	NN	rate
though	IN	though
fan	NN	fan
interesting	JJ	interesting
strong	JJ	strong
characters	NNS	character
heroic	JJ	heroic
sexy	JJ	sexy
women	NNS	woman
kicking	VBG	kick
butt	NN	butt
saving	VBG	save
world	NN	world
hell	NN	hell
love	NN	love
thought	VBD	think
story	NN	story
really	RB	really
pulled	VBD	pull
very	RB	very
cool	VB	cool
quite	RB	quite
anime	JJ	<unknown>
esque	NN	<unknown>
more	RBR	more
like	IN	like
american	NN	American
following	VBG	follow
new	JJ	new
trend	NN	trend
adult	NN	adult
animation	NN	animation
like	IN	like
titan	NN	titan
e	NN	e
meet	NN	meet
's	POS	's
live	JJ	live
action	NN	action
version	NN	version
punisher	NN	punisher
end	VBP	end
highly	RB	highly
recommend	VB	recommend
comic	JJ	comic
buff	JJ	buff
super	JJ	super
hero	NN	hero
fan	NN	fan
open	VBP	open
enough	RB	enough
mind	VB	mind
looking	VBG	look
fun	NN	fun
