i	NP	i
saw	VBD	see
drive	NN	drive
in	IN	in
1959	CD	@card@
"	``	"
howard	JJ	<unknown>
duck	NN	duck
"	''	"
considered	VBN	consider
worst	JJS	bad
seen	VBN	see
tried	VBD	try
combine	VB	combine
all	DT	all
genera	NNS	genus
comedy	NN	comedy
horror	NN	horror
teenage	JJ	teenage
angst	NN	angst
hot	JJ	hot
rod	NN	rod
sired	VBN	sire
"	``	"
my	PP$	my
mother	NN	mother
car	NN	car
"	''	"
maybe	RB	maybe
deserves	VBZ	deserve
second	JJ	second
viewing	NN	viewing
accurate	JJ	accurate
reflection	NN	reflection
it	PP	it
's	VBZ	be
time	NN	time
