when	WRB	when
11	CD	@card@
grease	NN	grease
2	CD	2
like	IN	like
crack	NN	crack
classless	JJ	classless
shameful	JJ	shameful
euphoric	JJ	euphoric
powerfully	RB	powerfully
addictive	JJ	addictive
experience	NN	experience
sister	NN	sister
watch	NN	watch
rewind	NN	rewind
watch	VBP	watch
again	RB	again
again	RB	again
again	RB	again
passed	VBN	pass
too	RB	too
confused	JJ	confused
hostile	JJ	hostile
stand	NN	stand
11	CD	@card@
year	NN	year
old	JJ	old
girl	NN	girl
reviewed	VBD	review
film	NN	film
as	IN	as
"	``	"
brilliant	JJ	brilliant
"	''	"
"	``	"
fun	NN	fun
"	''	"
"	``	"
better	RBR	well
than	IN	than
original	JJ	original
grease	NN	grease
"	''	"
fledgling	JJ	fledgling
adolescent	JJ	adolescent
hormones	NNS	hormone
blame	VBP	blame
rest	NN	rest
assured	VBN	assure
unyielding	JJ	unyielding
fixation	NN	fixation
utter	JJ	utter
rubbish	NN	rubbish
pass	VB	pass
however	RB	however
not	RB	not
little	JJ	little
girl	NN	girl
absolutely	RB	absolutely
no	DT	no
excuse	NN	excuse
suggest	VBP	suggest
grease	NN	grease
2	CD	2
but	CC	but
inane	JJ	inane
artless	JJ	artless
slipshod	JJ	slipshod
embarrassment	NN	embarrassment
all	RB	all
participated	VBD	participate
production	NN	production
distribution	NN	distribution
consumption	NN	consumption
sake	NN	sake
criticism	NN	criticism
dignify	VBP	dignify
film	NN	film
explaining	VBG	explain
blows1	JJ	<unknown>
well	RB	well
executed	VBN	execute
musical	JJ	musical
songs	NNS	song
advance	NN	advance
narrative	NN	narrative
develop	VBP	develop
characters	NNS	character
grease	VBP	grease
2	CD	2
few	JJ	few
debatable	JJ	debatable
exceptions	NNS	exception
music	NN	music
obscenely	RB	obscenely
pointless	JJ	pointless
most	JJS	most
songs	NNS	song
appear	VBP	appear
relate	VB	relate
gimped	JJ	<unknown>
innuendo	NN	innuendo
sex	NN	sex
excessive	JJ	excessive
general	JJ	general
way	NN	way
"	''	"
score	NN	score
tonight	NN	tonight
"	''	"
"	``	"
reproduction	NN	reproduction
"	''	"
"	``	"
do	VB	do
country	NN	country
"	''	"
"	''	"
prowlin	NP	<unknown>
'	POS	'
"	``	"
making	VBG	make
concrete	JJ	concrete
statement	NN	statement
any	DT	any
film	NN	film
's	POS	's
characters	NNS	character
themes	NNS	theme
plus	CC	plus
all	DT	all
music	NN	music
uncomfortably	RB	uncomfortably
stupid	JJ	stupid
no	DT	no
cast	NN	cast
demonstrates	VBZ	demonstrate
crudest	JJS	crude
semblance	NN	semblance
ability	NN	ability
sing	NN	sing
dance	NN	dance
2	CD	2
t	NN	t
birds	NNS	bird
badass	NNS	<unknown>
not	RB	not
least	RBS	least
somewhat	RB	somewhat
likable	JJ	likable
but	CC	but
instead	RB	instead
annoying	VBG	annoy
wussy	JJ	<unknown>
dufus	NN	<unknown>
loser	NN	loser
end	NN	end
johnny	NN	johnny
nogerelli	NN	<unknown>
offers	VBZ	offer
michael	JJ	<unknown>
sacred	JJ	sacred
t	NN	t
bird	NN	bird
jacket	NN	jacket
initiates	VBZ	initiate
gang	NN	gang
michael	NNS	<unknown>
kick	VBP	kick
ground	NN	ground
spit	NN	spit
duck	NN	duck
away	RB	away
fervently	RB	fervently
scrub	VB	scrub
any	DT	any
body	NN	body
touched	VBD	touch
but	CC	but
course	NN	course
accepts	VBZ	accept
as	IN	as
gold	NN	gold
despite	IN	despite
fact	NN	fact
bunch	NN	bunch
bumbling	VBG	bumble
meatheads	NNS	<unknown>
no	DT	no
greater	JJR	great
honor	NN	honor
than	IN	than
t	NN	t
birds	NNS	bird
3	CD	3
michael	NNS	<unknown>
beautiful	JJ	beautiful
smart	JJ	smart
kind	NN	kind
resourceful	JJ	resourceful
average	NN	average
everyway	NN	<unknown>
musical	JJ	musical
impotence	NN	impotence
notwithstanding	IN	notwithstanding
feasible	JJ	feasible
stephanie	NN	<unknown>
ultimately	RB	ultimately
embrace	VBP	embrace
reveals	VBZ	reveal
himself	PP	himself
man	NN	man
mask	NN	mask
stephanie	NN	<unknown>
hand	NN	hand
slovenly	JJ	slovenly
slack	NN	slack
jawed	VBD	jaw
bubble	NN	bubble
gum	NN	gum
smacking	VBG	smack
dirty	JJ	dirty
sweatshirt	NN	sweatshirt
wearing	VBG	wear
gracelessly	RB	gracelessly
rude	JJ	rude
trashy	JJ	trashy
dingbat	NN	dingbat
aside	RB	aside
pretty	RB	pretty
guess	VBP	guess
harbors	VBZ	harbor
no	DT	no
likable	JJ	likable
characteristics	NNS	characteristic
thus	RB	thus
audiences	NNS	audience
given	VBN	give
no	DT	no
justification	NN	justification
whatsoever	JJ	whatsoever
depth	NN	depth
michael	NP	Michael
's	POS	's
attraction	NN	attraction
on	IN	on
but	CC	but
did	VBD	do
n't	RB	n't
want	VB	want
mention	VB	mention
gross	JJ	gross
inferiority	NN	inferiority
predecessor	NN	predecessor
apparently	RB	apparently
many	JJ	many
cranks	NNS	crank
feel	VBP	feel
comparison	NN	comparison
unfair	JJ	unfair
say	VBP	say
though	RB	though
think	VB	think
want	VBP	want
revisit	VB	revisit
mess	NN	mess
old	JJ	old
time	NN	time
's	POS	's
sake	NN	sake
grease	NN	grease
2	CD	2
experience	NN	experience
akin	JJ	akin
living	NN	living
kiss	NN	kiss
32	CD	@card@
kissing	NN	kissing
snot	NN	snot
nosed	VBD	nose
13	CD	@card@
year	NN	year
old	JJ	old
kid	NN	kid
acne	NN	acne
slobby	NN	<unknown>
braces	VBZ	brace
magic	JJ	magic
gone	VBN	go
left	NN	left
feeling	VBG	feel
dirty	JJ	dirty
disturbed	JJ	disturbed
trust	NN	trust
