i	NP	i
wanting	VBG	want
cut	NN	cut
day	NN	day
heard	VBD	hear
year	NN	year
got	VBD	get
today	NN	today
started	VBD	start
thought	NN	thought
started	VBD	start
week	NN	week
but	CC	but
got	VBD	get
better	JJR	good
10	CD	@card@
mins	NNS	min
thought	VBD	think
pretty	RB	pretty
good	JJ	good
but	CC	but
thing	NN	thing
did	VBD	do
n't	RB	n't
like	IN	like
killer	NN	killer
created	VBN	create
thinking	NN	thinking
just	RB	just
rented	VBD	rent
probably	RB	probably
suck	VB	suck
just	RB	just
like	IN	like
urban	JJ	urban
legends	NNS	legend
final	JJ	final
cut	NN	cut
almost	RB	almost
died	VBD	die
mostly	RB	mostly
ul	JJ	<unknown>
final	JJ	final
cut	NN	cut
needed	VBD	need
improved	VBN	improve
cut	NN	cut
100	CD	@card@
times	NNS	time
better	RBR	well
than	IN	than
ul	JJ	<unknown>
final	JJ	final
cut	NN	cut
best	JJS	good
cut	VBN	cut
killer	NN	killer
death	NN	death
scenes	NNS	scene
killer	NN	killer
kicks	VBZ	kick
mo	NN	mo
f	SYM	f
ing	JJ	<unknown>
ass	NN	ass
cut	VBD	cut
8	CD	8
10	CD	@card@
