this	DT	this
most	RBS	most
visually	RB	visually
stunning	JJ	stunning
moving	VBG	move
amazing	JJ	amazing
incredible	JJ	incredible
story	NN	story
i	NNS	i
've	VBP	have
experienced	VBN	experience
quite	RB	quite
frankly	RB	frankly
adjectives	NNS	adjective
just	RB	just
cannot	MD	can
ca	MD	ca
n't	RB	n't
just	RB	just
choose	VBP	choose
scene	NN	scene
stood	VBD	stand
suppose	VB	suppose
list	NN	list
few	JJ	few
reactions	NNS	reaction
fireman	NN	fireman
crashing	VBG	crash
sound	JJ	sound
jumping	VBG	jump
victims	NNS	victim
reaction	NN	reaction
people	NNS	people
trapped	VBN	trap
elevator	NN	elevator
unaware	RB	unaware
going	VBG	go
as	RB	as
finally	RB	finally
emerge	VB	emerge
horrific	JJ	horrific
scene	NN	scene
shock	NN	shock
disbelief	NN	disbelief
onlookers	NNS	onlooker
finally	RB	finally
silence	VBP	silence
day	NN	day
reminded	VBD	remind
star	NN	star
wars	NNS	war
1977	CD	@card@
obi	NN	obi
wan	JJ	wan
says	VBZ	say
`	``	`
i	NP	i
felt	VBD	feel
great	JJ	great
disturbance	NN	disturbance
force	NN	force
as	IN	as
millions	NNS	million
voices	NNS	voice
suddenly	RB	suddenly
cried	VBD	cry
terror	NN	terror
suddenly	RB	suddenly
silenced	VBN	silence
'	''	'
amazing	JJ	amazing
accurate	JJ	accurate
description	NN	description
truly	RB	truly
disturbance	NN	disturbance
force	NN	force
documentary	NN	documentary
vividly	RB	vividly
reveals	VBZ	reveal
disturbance	NN	disturbance
feelings	NNS	feeling
incredibly	RB	incredibly
visual	JJ	visual
anger	NN	anger
frustration	NN	frustration
shock	NN	shock
fear	NN	fear
exhaustion	NN	exhaustion
realization	NN	realization
very	JJ	very
magnitude	NN	magnitude
it	PP	it
's	VBZ	be
all	RB	all
not	RB	not
thing	NN	thing
missed	VBD	miss
powerful	JJ	powerful
most	RBS	most
moving	JJ	moving
documentary	NN	documentary
well	RB	well
deserving	JJ	deserving
emmy	NN	<unknown>
not	RB	not
just	RB	just
documents	VBZ	document
9	CD	9
11	CD	@card@
but	CC	but
simply	RB	simply
plan	NN	plan
watch	VBP	watch
sure	RB	sure
grab	VB	grab
box	NN	box
tissues	NNS	tissue
you	PP	you
'll	MD	will
need	VB	need
know	VB	know
did	VBD	do
