one	CD	one
best	JJS	good
love	NN	love
stories	NNS	storey
seen	VBN	see
bit	NN	bit
like	IN	like
watching	VBG	watch
train	NN	train
wreck	NN	wreck
slow	JJ	slow
motion	NN	motion
but	CC	but
lovely	JJ	lovely
nonetheless	RB	nonetheless
big	JJ	big
edie	NN	<unknown>
little	JJ	little
edie	NN	<unknown>
bit	NN	bit
like	IN	like
family	NN	family
members	NNS	member
watching	VBG	watch
repeatedly	RB	repeatedly
infinitely	RB	infinitely
quotable	JJ	quotable
"	''	"
it	PP	it
's	VBZ	be
goddamned	JJ	<unknown>
beautiful	JJ	beautiful
day	NN	day
just	RB	just
shut	VBD	shut
up	RP	up
"	``	"
opening	NN	opening
explanation	NN	explanation
little	JJ	little
edie	NN	<unknown>
's	POS	's
costume	JJ	costume
promises	NNS	promise
live	VBP	live
forever	RB	forever
big	JJ	big
edie	NN	<unknown>
"	''	"
the	DT	the
world	NN	world
famous	JJ	famous
singer	NN	singer
"	''	"
little	JJ	little
edie	NN	<unknown>
"	''	"
world	NN	world
famous	JJ	famous
dancer	NN	dancer
"	''	"
