this	DT	this
very	RB	very
funny	JJ	funny
ealing	VBG	<unknown>
comedy	NN	comedy
community	NN	community
central	JJ	central
london	NN	<unknown>
unusual	JJ	unusual
set	NN	set
circumstances	NNS	circumstance
discover	VBP	discover
not	RB	not
english	VB	<unknown>
but	CC	but
annex	VB	annex
french	JJ	French
province	NN	province
burgundy	NN	Burgundy
film	NN	film
features	VBZ	feature
comic	JJ	comic
actor	NN	actor
stanley	NP	Stanley
holloway	NN	<unknown>
best	RBS	well
known	VBN	know
as	IN	as
alfred	NP	Alfred
doolittle	NP	Doolittle
fair	JJ	fair
lady	NN	lady
as	IN	as
well	RB	well
as	RB	as
host	VB	host
classic	JJ	classic
comic	JJ	comic
actors	NNS	actor
period	NN	period
story	NN	story
apparently	RB	apparently
based	VBN	base
news	NN	news
item	NN	item
time	NN	time
canadian	JJ	Canadian
government	NN	government
"	''	"
officially	RB	officially
"	``	"
gave	VBD	give
hotel	NN	hotel
room	NN	room
visiting	VBG	visit
european	JJ	European
member	NN	member
royalty	NN	royalty
idea	NN	idea
actually	RB	actually
reminded	VBD	remind
real	JJ	real
life	NN	life
case	NN	case
hutt	NN	<unknown>
river	NN	river
province	NN	province
western	JJ	western
australia	NN	<unknown>
landowner	NN	landowner
"	''	"
seceded	VBN	secede
"	``	"
australian	JJ	Australian
government	NN	government
wool	NN	wool
quota	NN	quota
dispute	NN	dispute
never	RB	never
acknowledged	VBD	acknowledge
western	JJ	western
australian	JJ	Australian
australian	JJ	Australian
governments	NNS	government
great	JJ	great
script	NN	script
plays	VBZ	play
lot	RB	lot
political	JJ	political
economic	JJ	economic
issues	NNS	issue
like	IN	like
tv	NN	tv
"	``	"
yes	UH	yes
minister	NN	minister
"	``	"
as	RB	as
well	RB	well
as	IN	as
great	JJ	great
little	JJ	little
eccentric	JJ	eccentric
character	NN	character
piece	NN	piece
as	IN	as
well	RB	well
