the	DT	the
film	NN	film
poorly	RB	poorly
casted	JJ	<unknown>
except	IN	except
familiar	JJ	familiar
old	JJ	old
hollywood	NN	<unknown>
names	NNS	name
performances	NNS	performance
unknown	JJ	unknown
names	NNS	name
e	SYM	e
jennifer	NN	<unknown>
gabrielle	NN	<unknown>
uninspiring	VBG	uninspire
seen	VBN	see
films	NNS	film
director	NN	director
unfortunately	RB	unfortunately
worst	JJS	bad
reflection	NN	reflection
screenplay	NN	screenplay
positive	JJ	positive
note	NN	note
kim	NN	<unknown>
bassinger	NN	<unknown>
's	POS	's
pat	JJ	pat
morita	NN	<unknown>
's	POS	's
performance	NN	performance
saved	VBD	save
oblivion	NN	oblivion
enjoyed	VBD	enjoy
pat	RB	pat
more	JJR	more
karate	NN	karate
kid	NN	kid
though	IN	though
many	JJ	many
good	JJ	good
short	RB	short
not	RB	not
save	VB	save
money	NN	money
celluloid	NN	celluloid
jason	NN	<unknown>
vanness	NN	<unknown>
