my	PP$	my
wife	NN	wife
fanatic	NN	fanatic
as	RB	as
regards	VBZ	regard
case	NN	case
bought	VBD	buy
seasons	NNS	season
season	NN	season
order	NN	order
personally	RB	personally
think	VBP	think
big	JJ	big
farce	NN	farce
cast	VBD	cast
equally	RB	equally
bad	JJ	bad
alyssa	NN	<unknown>
milano	NN	<unknown>
stuck	VBD	stick
trash	NN	trash
as	IN	as
poison	NN	poison
ivy	NN	ivy
embrace	VB	embrace
vampire	NN	vampire
few	JJ	few
female	NN	female
supporting	VBG	support
cast	NN	cast
members	NNS	member
equally	RB	equally
inept	JJ	inept
portrayals	NNS	portrayal
i	NNS	i
've	VBP	have
seen	VBN	see
better	RBR	well
special	JJ	special
effects	NNS	effect
old	JJ	old
republic	NN	republic
pictures	NNS	picture
serials	NNS	serial
saw	VBD	see
as	IN	as
child	NN	child
understand	VBP	understand
male	JJ	male
leads	NNS	lead
remained	VBD	remain
short	JJ	short
periods	NNS	period
time	NN	time
though	RB	though
do	VBP	do
n't	RB	n't
know	VB	know
choosing	VBG	choose
not	RB	not
please	RB	please
do	VBP	do
n't	RB	n't
renew	VB	renew
season	NN	season
as	IN	as
enough	JJ	enough
enough	JJ	enough
bob	NN	bob
