i	NP	i
just	RB	just
watched	VBD	watch
high	JJ	high
definition	NN	definition
television	NN	television
wheelchair	NN	wheelchair
neuromuscular	JJ	neuromuscular
disorder	NN	disorder
like	IN	like
watch	NN	watch
few	JJ	few
films	NNS	film
physical	JJ	physical
disabilities	NNS	disability
main	JJ	main
character	NN	character
somewhat	RB	somewhat
noble	JJ	noble
captivating	JJ	captivating
message	NN	message
disabled	JJ	disabled
life	NN	life
time	NN	time
spent	VBD	spend
fighting	VBG	fight
disabled	JJ	disabled
recognized	VBN	recognize
integrated	JJ	integrated
mainstream	NN	mainstream
society	NN	society
's	POS	's
job	NN	job
market	NN	market
great	JJ	great
problem	NN	problem
is	VBZ	be
n't	RB	n't
real	JJ	real
person	NN	person
did	VBD	do
things	NNS	thing
great	JJ	great
man	NN	man
but	CC	but
film	NN	film
completely	RB	completely
hypocritical	JJ	hypocritical
diametrically	RB	diametrically
opposed	VBN	oppose
very	JJ	very
message	NN	message
preaching	NN	preaching
insulting	VBG	insult
all	DT	all
did	VBD	do
n't	RB	n't
cast	VB	cast
title	NN	title
role	NN	role
actual	JJ	actual
physical	JJ	physical
disability	NN	disability
sure	JJ	sure
competent	JJ	competent
actors	NNS	actor
but	CC	but
completely	RB	completely
dis	NNS	<unknown>
genuine	JJ	genuine
preach	VBP	preach
hiring	VBG	hire
disabled	JJ	disabled
not	RB	not
actually	RB	actually
hiring	VBG	hire
disabled	JJ	disabled
film	NN	film
further	RBR	further
compounded	VBD	compound
fact	NN	fact
scene	NN	scene
mid	JJ	mid
way	NN	way
film	NN	film
man	NN	man
seen	VBN	see
walking	JJ	walking
podium	NN	podium
crutches	NNS	crutch
appearing	VBG	appear
leg	NN	leg
but	CC	but
cgi	NN	<unknown>
scene	NN	scene
apparent	JJ	apparent
shameful	JJ	shameful
could	MD	could
n't	RB	n't
actual	JJ	actual
amputee	NN	amputee
film	NN	film
5	CD	5
second	JJ	second
shot	NN	shot
more	RBR	more
financially	RB	financially
sound	VB	sound
cgi	NN	<unknown>
effects	NNS	effect
than	IN	than
just	RB	just
hire	VB	hire
actual	JJ	actual
amputee	NN	amputee
point	NN	point
film	NN	film
fraudulent	JJ	fraudulent
completely	RB	completely
against	IN	against
message	NN	message
trying	VBG	try
convey	VB	convey
came	VBD	come
bitch	NN	bitch
whine	NN	whine
like	IN	like
pathetic	JJ	pathetic
cripple	NN	cripple
figure	NN	figure
