i	NP	i
caught	VBD	catch
film	NN	film
test	NN	test
screening	NN	screening
very	RB	very
surprised	VBD	surprise
really	RB	really
sweet	JJ	sweet
fun	NN	fun
story	NN	story
well	RB	well
acted	VBD	act
natasha	NN	<unknown>
henstridge	NN	<unknown>
julia	NN	<unknown>
roberts	VBZ	<unknown>
male	JJ	male
lead	NN	lead
awsome	NN	<unknown>
very	RB	very
funny	JJ	funny
film	NN	film
takes	VBZ	take
place	VB	place
best	JJS	good
locations	NNS	location
new	JJ	new
york	VBP	york
want	VBP	want
just	RB	just
saw	VBD	see
"	``	"
you	PP	you
've	VBP	have
got	VBN	get
mail	NN	mail
"	``	"
thought	VBN	think
"	''	"
it	PP	it
you	PP	you
'	POS	'
much	RB	much
better	JJR	good
story	NN	story
fresher	NN	fresher
clean	VB	clean
great	JJ	great
whole	JJ	whole
family	NN	family
think	VBP	think
well	RB	well
audience	NN	audience
saw	VBD	see
loved	VBN	love
definite	JJ	definite
recommend	VBP	recommend
