when	WRB	when
discussing	VBG	discuss
titled	VBN	title
'	''	'
snakes	VBZ	snake
plane	NN	plane
'	POS	'
point	NN	point
early	RB	early
snakes	VBZ	snake
pretty	RB	pretty
darn	VB	darn
important	JJ	important
plot	NN	plot
very	RB	very
bad	JJ	bad
cgi	NN	<unknown>
snakes	NNS	snake
neither	CC	neither
look	VBP	look
nor	CC	nor
like	VBP	like
real	JJ	real
snakes	NNS	snake
snakes	VBZ	snake
scary	JJ	scary
appear	VBP	appear
slimy	JJ	slimy
crawl	NN	crawl
slither	NN	slither
snakes	VBZ	snake
nothing	NN	nothing
sort	NN	sort
glide	NN	glide
like	IN	like
video	JJ	video
game	NN	game
cartoon	NN	cartoon
snakes	VBZ	snake
as	RB	as
far	RB	far
say	VBP	say
that	IN	that
major	JJ	major
phobia	NN	phobia
against	IN	against
real	JJ	real
snakes	NNS	snake
not	RB	not
ones	NNS	one
scarywhy	JJ	<unknown>
earth	NN	earth
want	VBP	want
include	VB	include
extreme	JJ	extreme
close	JJ	close
ups	NNS	up
cgi	NN	<unknown>
failures	NNS	failure
not	RB	not
rely	VBP	rely
suspense	NN	suspense
whole	NN	whole
'	''	'
less	CC	less
more	JJR	more
'	''	'
ethic	NN	ethic
better	RBR	well
still	RB	still
not	RB	not
just	RB	just
make	VB	make
look	VB	look
good	JJ	good
place	NN	place
maybe	RB	maybe
still	RB	still
use	VB	use
sparinglytake	NN	<unknown>
look	NN	look
john	NN	john
carpenters	NNS	carpenter
'	''	'
the	DT	the
thing	NN	thing
'	POS	'
real	JJ	real
slime	NN	slime
gore	VB	gore
eerie	JJ	eerie
proportions	NNS	proportion
20	CD	@card@
years	NNS	year
pile	VBP	pile
stinking	JJ	stinking
sfx	NN	<unknown>
crap	NN	crap
'	POS	'
snakes	NNS	snake
plane	NN	plane
'	POS	'
people	NNS	people
going	VBG	go
wake	NN	wake
up	IN	up
smell	NN	smell
coffee	NN	coffee
special	JJ	special
effects	NNS	effect
going	VBG	go
backwards	RB	backwards
sure	RB	sure
say	VB	say
but	CC	but
joke	VB	joke
sure	JJ	sure
i	NNS	i
'm	VBP	be
idea	NN	idea
but	CC	but
well	RB	well
addition	NN	addition
crap	NN	crap
dialogue	NN	dialogue
music	NN	music
sound	NN	sound
effects	NNS	effect
not	RB	not
creepy	JJ	creepy
memorable	JJ	memorable
any	DT	any
way	NN	way
handle	VB	handle
actor	NN	actor
except	IN	except
jackson	NN	<unknown>
doing	VBG	do
man	NN	man
starred	JJ	starred
pulp	NN	pulp
fiction	NN	fiction
10	CD	@card@
years	NNS	year
ago	RB	ago
career	NN	career
progression	NN	progression
offering	NN	offering
people	NNS	people
value	NN	value
money	NN	money
no	DT	no
i	NP	i
'd	MD	will
like	VB	like
know	VB	know
tarantino	NN	<unknown>
thought	VBD	think
half	DT	half
way	NN	way
stinker	NN	stinker
moviethe	NN	<unknown>
current	JJ	current
generation	NN	generation
very	RB	very
low	JJ	low
expectations	NNS	expectation
hollywood	NN	<unknown>
offering	NN	offering
just	RB	just
want	VBP	want
leaving	VBG	leave
cinema	NN	cinema
saw	VBD	see
number	NN	number
advertisements	NNS	advertisement
truly	RB	truly
horrendous	JJ	horrendous
looking	VBG	look
future	NN	future
releases	NNS	release
including	VBG	include
doa	NN	<unknown>
dead	JJ	dead
alive	JJ	alive
cgi	NN	<unknown>
animal	NN	animal
film	NN	film
called	VBN	call
'	''	'
flushed	VBN	flush
away	RB	away
'	''	'
crap	NN	crap
looking	VBG	look
comedy	NN	comedy
named	VBN	name
'	''	'
click	NN	click
'	POS	'
addition	NN	addition
saw	VBD	see
awful	JJ	awful
trailers	NNS	trailer
including	VBG	include
crap	NN	crap
british	JJ	British
horror	NN	horror
comedy	NN	comedy
i	NNS	i
've	VBP	have
truly	RB	truly
not	RB	not
seen	VBN	see
industry	NN	industry
mess	NN	mess
like	IN	like
long	JJ	long
timeexpect	JJ	<unknown>
sale	NN	sale
dvd	NN	<unknown>
bargain	NN	bargain
section	NN	section
1	CD	1
6	CD	6
months	NNS	month
time	NN	time
you	PP	you
're	VBP	be
expecting	VBG	expect
black	JJ	black
comedy	NN	comedy
tonnes	NNS	tonne
great	JJ	great
looking	VBG	look
snakes	NNS	snake
bad	JJ	bad
ass	NN	ass
cool	JJ	cool
dialogue	NN	dialogue
coming	VBG	come
samuel	NN	<unknown>
l	NN	l
jacksons	NNS	Jackson
lips	NNS	lip
forget	VBP	forget
