a	DT	a
very	RB	very
funny	JJ	funny
good	JJ	good
jim	NN	<unknown>
carrey	NN	<unknown>
top	JJ	top
form	NN	form
definitely	RB	definitely
worth	JJ	worth
price	NN	price
admission	NN	admission
morgan	NN	<unknown>
freeman	NN	freeman
jennifer	NN	<unknown>
aniston	NN	<unknown>
played	VBD	play
outstanding	JJ	outstanding
supporting	JJ	supporting
roles	NNS	role
film	NN	film
think	VBP	think
played	VBN	play
dog	NN	dog
bit	NN	bit
too	RB	too
much	RB	much
however	RB	however
still	RB	still
good	JJ	good
film	NN	film
