my	PP$	my
cable	NN	cable
tv	NN	tv
what	WP	what
's	VBZ	have
called	VBN	call
arts	NNS	art
channel	VBP	channel
"	``	"
catch	VBP	catch
as	RB	as
catch	VB	catch
can	MD	can
"	``	"
situation	NN	situation
sometimes	RB	sometimes
films	VBZ	film
short	JJ	short
clips	NNS	clip
films	NNS	film
ballets	NNS	ballet
came	VBD	come
just	RB	just
as	IN	as
bar	NN	bar
scene	NN	scene
came	VBD	come
tear	VB	tear
up	RP	up
coupons	NNS	coupon
excellent	JJ	excellent
exquisite	JJ	exquisite
ealing	NN	<unknown>
wins	VBZ	win
again	RB	again
wartime	NN	wartime
glasgow	NN	<unknown>
raised	VBD	raise
mother	NN	mother
love	NN	love
copy	NN	copy
britain	NN	<unknown>
's	POS	's
best	JJS	good
artists	NNS	artist
mr	NN	Mr
holloway	NP	Holloway
wayne	NP	Wayne
radford	NP	Radford
delicious	JJ	delicious
miss	NN	miss
rutherford	NN	rutherford
having	VBG	have
wonderful	JJ	wonderful
time	NN	time
gently	RB	gently
sticking	VBG	stick
home	NN	home
office	NN	office
loved	VBD	love
scene	NN	scene
as	RB	as
soon	RB	soon
as	IN	as
"	``	"
back	RB	back
england	JJ	<unknown>
"	''	"
temperature	NN	temperature
plummets	VBZ	plummet
rains	NNS	rain
