this	DT	this
great	JJ	great
film	NN	film
composed	VBN	compose
mostly	RB	mostly
documentary	JJ	documentary
footage	NN	footage
currently	RB	currently
contained	VBD	contain
dvd	JJ	<unknown>
prelude	NN	prelude
war	NN	war
great	JJ	great
american	NN	American
filmmaker	NN	filmmaker
story	NN	story
teller	NN	teller
frank	JJ	frank
capra	NN	<unknown>
films	NNS	film
simply	RB	simply
clearly	RB	clearly
attention	NN	attention
main	JJ	main
points	NNS	point
caused	VBD	cause
world	NN	world
war	NN	war
ii	NN	<unknown>
hitler	NN	<unknown>
's	POS	's
rise	NN	rise
school	NN	school
child	NN	child
nay	NN	nay
american	NN	American
watch	NN	watch
films	NNS	film
today	NN	today
apropos	JJ	apropos
history	NN	history
repeating	VBG	repeat
itself	PP	itself
over	IN	over
again	RB	again
lord	NN	lord
chamberlains	NNS	chamberlain
still	RB	still
alive	JJ	alive
kicking	VBG	kick
tactics	NNS	tactic
used	VBD	use
nazis	NNS	Nazi
infiltrating	VBG	infiltrate
countries	NNS	country
sympathizers	NNS	sympathizer
communists	NNS	communist
muslim	VBP	<unknown>
terrorist	JJ	terrorist
groups	NNS	group
still	RB	still
working	VBG	work
evil	JJ	evil
group	NN	group
's	POS	's
advantage	NN	advantage
sitting	VBG	sit
letting	VBG	let
hitler	NN	<unknown>
as	IN	as
early	JJ	early
as	IN	as
1935	CD	@card@
aggressive	JJ	aggressive
france	NN	<unknown>
america	NN	<unknown>
england	NN	<unknown>
caused	VBD	cause
50	CD	@card@
million	CD	million
people	NNS	people
's	POS	's
deaths	NNS	death
americans	NNS	American
french	VBG	<unknown>
british	JJ	British
today	NN	today
happily	RB	happily
let	VBD	let
hitler	NN	<unknown>
exactly	RB	exactly
thing	NN	thing
despite	IN	despite
fact	NN	fact
learned	VBN	learn
history	NN	history
happens	VBZ	happen
let	VB	let
dictators	NNS	dictator
break	VB	break
treaties	NNS	treaty
great	JJ	great
films	NNS	film
too	RB	too
simplistic	JJ	simplistic
world	NN	world
war	NN	war
ii	NN	<unknown>
history	NN	history
buffs	NNS	buff
do	VBP	do
n't	RB	n't
tell	VB	tell
horrors	NNS	horror
soviet	JJ	soviet
union	NN	union
caused	VBD	cause
simply	RB	simply
time	NN	time
america	NN	<unknown>
teamed	VBD	team
up	RP	up
fighting	VBG	fight
hitler	NN	<unknown>
film	NN	film
does	VBZ	do
tell	VB	tell
plain	JJ	plain
facts	NNS	fact
motives	NNS	motive
led	VBD	lead
terrible	JJ	terrible
war	NN	war
