i	NP	i
almost	RB	almost
seagal	JJ	<unknown>
yes	NN	yes
ones	NNS	one
like	IN	like
low	JJ	low
budget	NN	budget
say	VBP	say
worst	JJS	bad
not	RB	not
but	CC	but
all	DT	all
highlight	NN	highlight
film	NN	film
reason	NN	reason
gave	VBD	give
2	CD	2
stars	NNS	star
instead	RB	instead
1	CD	1
seagal	NN	<unknown>
b	SYM	b
seagal	NN	<unknown>
does	VBZ	do
sweet	JJ	sweet
action	NN	action
sequences	NNS	sequence
specifically	RB	specifically
store	VBP	store
takes	VBZ	take
entire	JJ	entire
army	NN	army
knife	NN	knife
time	NN	time
90	CD	@card@
minutes	NNS	minute
seagal	JJ	<unknown>
killing	NN	killing
people	NNS	people
do	VBP	do
n't	RB	n't
bother	VB	bother
story	NN	story
line	NN	line
storyline	NN	storyline
not	RB	not
stunk	VBD	stink
but	CC	but
did	VBD	do
acting	JJ	acting
fact	NN	fact
f	SYM	f
18	CD	@card@
's	POS	's
f	NN	f
14	CD	@card@
's	VBZ	be
changed	VBN	change
f	SYM	f
16s	JJ	<unknown>
fact	NN	fact
stealth	NN	stealth
as	IN	as
fast	RB	fast
as	RB	as
f	SYM	f
16	CD	@card@
stealth	NN	stealth
never	RB	never
refuel	VBP	refuel
afghanistan	NN	<unknown>
considered	VBN	consider
hostile	JJ	hostile
territory	NN	territory
air	NN	air
force	NN	force
stand	NN	stand
point	NN	point
checked	VBD	check
afghanistan	NN	<unknown>
no	DT	no
air	NN	air
force	NN	force
usa	NN	<unknown>
control	NN	control
skies	VBZ	sky
top	JJ	top
secret	JJ	secret
mission	NN	mission
played	VBD	play
speakers	NNS	speaker
all	DT	all
crew	NN	crew
room	NN	room
yet	CC	yet
admiral	NN	admiral
still	RB	still
whispers	VBZ	whisper
guy	NN	guy
secret	NN	secret
did	VBD	do
seagal	JJ	<unknown>
the	DT	the
truck	NN	truck
top	NN	top
tell	VBP	tell
jailed	JJ	jailed
air	NN	air
force	NN	force
pilots	NNS	pilot
great	JJ	great
commandos	NNS	commando
unless	IN	unless
owen	NN	<unknown>
wilson	NN	<unknown>
drunks	NNS	drunk
arab	NN	Arab
countries	NNS	country
considering	VBG	consider
muslims	NNS	Muslim
do	VBP	do
n't	RB	n't
drink	VB	drink
alcohol	NN	alcohol
top	NN	top
arabs	NNS	Arab
listen	VBP	listen
orders	NNS	order
females	NNS	female
like	IN	like
2	CD	2
charge	NN	charge
highlight	NN	highlight
film	NN	film
definitely	RB	definitely
seagal	JJ	<unknown>
killing	VBG	kill
people	NNS	people
store	NN	store
50	CD	@card@
people	NNS	people
killed	VBD	kill
knife	NN	knife
as	IN	as
well	RB	well
as	RB	as
very	RB	very
brief	JJ	brief
totally	RB	totally
random	JJ	random
lesbian	JJ	lesbian
scene	NN	scene
came	VBD	come
