where	WRB	where
's	VBZ	be
michael	NP	Michael
caine	NP	Caine
need	NN	need
i	NNS	i
've	VBP	have
seen	VBN	see
most	JJS	most
many	JJ	many
seasons	NNS	season
mst3k	NN	<unknown>
but	CC	but
rare	JJ	rare
pre	JJ	<unknown>
1st	JJ	1st
season	NN	season
flick	NN	flick
episdoe	NN	<unknown>
k	NN	k
20	CD	@card@
easily	RB	easily
worst	VBP	worst
"	``	"
stars	NNS	star
"	''	"
lee	JJ	lee
majors	NNS	major
chris	NN	<unknown>
makepeace	NN	<unknown>
burgess	NN	burgess
meredith	NN	Meredith
struggle	NN	struggle
worst	JJS	bad
batch	NN	batch
cinematography	NN	cinematography
delivering	VBG	deliver
lines	NNS	line
written	VBN	write
secret	JJ	secret
dick	NN	dick
cheney	NN	<unknown>
style	NN	style
workgroup	NN	<unknown>
composed	VBN	compose
exxon	NN	Exxon
gm	NN	<unknown>
lawyers	NNS	lawyer
trying	VBG	try
cut	NN	cut
funding	VBG	fund
mass	JJ	mass
transit	NN	transit
energy	NN	energy
efficiency	NN	efficiency
research	NN	research
looks	VBZ	look
like	IN	like
filmed	VBN	film
almost	RB	almost
total	JJ	total
darkness	NN	darkness
possibly	RB	possibly
super	JJ	super
8	CD	8
makes	VBZ	make
logan	NN	logan
's	POS	's
run	NN	run
look	NN	look
like	IN	like
cinematic	JJ	cinematic
sistine	NN	<unknown>
chapel	NN	chapel
crossed	VBD	cross
shakespeare	NN	Shakespeare
ca	MD	ca
n't	RB	n't
imagine	VB	imagine
watching	VBG	watch
commentary	NN	commentary
crow	NN	crow
servo	NN	servo
it	PP	it
's	VBZ	be
unwatchable	JJ	<unknown>
clearly	RB	clearly
what	WP	what
's	VBZ	be
needed	VBN	need
hollywood	JJ	<unknown>
sort	NN	sort
401k	NN	<unknown>
prevents	VBZ	prevent
need	NN	need
actors	NNS	actor
bad	JJ	bad
like	IN	like
order	NN	order
pay	NN	pay
health	NN	health
care	NN	care
"	''	"
rights	NNS	right
pollute	VBP	pollute
drive	VB	drive
"	``	"
theme	NN	theme
end	NN	end
i	NNS	i
'm	VBP	be
half	RB	half
expecting	VBG	expect
charlton	NN	<unknown>
heston	NN	<unknown>
cameo	NN	cameo
delivers	VBZ	deliver
"	``	"
cold	JJ	cold
dead	JJ	dead
hands	NNS	hand
"	''	"
speech	NN	speech
lee	NN	lee
forgiven	VBN	forgive
1989	CD	@card@
but	CC	but
1981	CD	@card@
