oh	UH	oh
crying	VBG	cry
loud	RB	loud
got	VBD	get
lamest	JJS	lame
i	NNS	i
've	VBP	have
seen	VBN	see
all	DT	all
year	NN	year
i	NNS	i
'm	VBP	be
sorry	RB	sorry
normally	RB	normally
awesome	JJ	awesome
john	NN	john
cusack	NN	<unknown>
involved	VBD	involve
brainless	JJ	brainless
twitty	JJ	<unknown>
piece	NN	piece
stupidity	NN	stupidity
sleepless	JJ	sleepless
seattle	NN	Seattle
delivered	VBN	deliver
amounts	NNS	amount
message	NN	message
albeit	IN	albeit
more	JJR	more
subtle	JJ	subtle
somewhat	RB	somewhat
more	RBR	more
mature	JJ	mature
level	NN	level
serendipity	NN	serendipity
delivers	VBZ	deliver
sledgehammer	NN	sledgehammer
proceeds	NNS	proceed
pound	NN	pound
psyche	NN	psyche
tedious	JJ	tedious
hour	NN	hour
half	NN	half
that	WDT	that
's	VBZ	be
hour	NN	hour
half	NN	half
life	NN	life
i	NP	i
'll	MD	will
never	RB	never
again	RB	again
thank	VB	thank
very	RB	very
much	RB	much
it	PP	it
's	VBZ	be
bad	JJ	bad
enough	RB	enough
main	JJ	main
characters	NNS	character
emotional	JJ	emotional
maturity	NN	maturity
level	NN	level
fourteen	NN	fourteen
year	NN	year
olds	NNS	old
actually	RB	actually
i	NP	i
've	VBP	have
known	VBN	know
better	JJR	good
fourteen	NN	fourteen
year	NN	year
olds	NNS	old
except	IN	except
maybe	RB	maybe
jeremy	JJ	<unknown>
piven	JJ	<unknown>
enjoyable	JJ	enjoyable
enough	RB	enough
just	RB	just
15	CD	@card@
minutes	NNS	minute
kate	JJ	<unknown>
beckinsale	NN	<unknown>
's	POS	's
character	NN	character
plays	VBZ	play
annoying	VBG	annoy
silliness	NN	silliness
game	NN	game
throwing	VBG	throw
all	DT	all
sensibility	NN	sensibility
wind	VB	wind
literally	RB	literally
best	JJS	good
friend	NN	friend
irritated	JJ	irritated
belief	NN	belief
told	VBD	tell
husband	NN	husband
rockstar	NN	<unknown>
more	JJR	more
intelligence	NN	intelligence
least	JJS	least
characters	NNS	character
rockstar	NN	<unknown>
were	VBD	be
n't	RB	n't
half	DT	half
as	RB	as
dysfunctional	JJ	dysfunctional
as	IN	as
idiots	NNS	idiot
"	``	"
serendipitous	JJ	serendipitous
"	''	"
mess	NN	mess
it	PP	it
's	VBZ	be
annoying	VBG	annoy
watch	NN	watch
protagonists	NNS	protagonist
no	DT	no
clue	NN	clue
choice	NN	choice
lives	NNS	life
feel	VBP	feel
they	PP	they
're	VBP	be
nothing	RB	nothing
more	RBR	more
than	IN	than
puppets	NNS	puppet
destiny	NN	destiny
whims	NNS	whim
fate	VBP	fate
utterly	RB	utterly
tiresome	JJ	tiresome
i	NNS	i
'm	VBP	be
sure	RB	sure
more	RBR	more
likely	RB	likely
enjoyed	VBN	enjoy
who	WP	who
'd	MD	will
not	RB	not
engage	VB	engage
chaotic	JJ	chaotic
messiness	NN	messiness
making	VBG	make
more	RBR	more
complex	JJ	complex
life	NN	life
choices	NNS	choice
responsibly	RB	responsibly
living	VBG	live
consequences	NNS	consequence
all	RB	all
here	RB	here
's	VBZ	be
hero	NN	hero
heroine	NN	heroine
live	VBP	live
happily	RB	happily
wreaking	VBG	wreak
havoc	NN	havoc
misery	NN	misery
people	NNS	people
's	POS	's
lives	NNS	life
respective	JJ	respective
fiances	NNS	<unknown>
not	RB	not
mention	VBP	mention
relatives	NNS	relative
friends	NNS	friend
just	RB	just
