how	WRB	how
unfortunate	JJ	unfortunate
many	JJ	many
"	''	"
a	DT	a
"	``	"
list	NN	list
good	JJ	good
"	``	"
b	NN	b
"	''	"
list	NN	list
actors	NNS	actor
agree	VBP	agree
but	CC	but
did	VBD	do
sucked	VBN	suck
watching	VBG	watch
never	RB	never
heard	VBN	hear
but	CC	but
cuba	NN	<unknown>
gooding	NN	<unknown>
jr	NN	<unknown>
right	NN	right
dvd	NNS	<unknown>
cover	VBP	cover
james	NNS	<unknown>
woods	NNS	wood
background	NN	background
bad	JJ	bad
word	NN	word
very	RB	very
starts	VBZ	start
o	NN	o
k	NN	k
twists	NNS	twist
turns	VBZ	turn
just	RB	just
lays	VBZ	lay
egg	NN	egg
ending	VBG	end
weak	JJ	weak
as	IN	as
writer	NN	writer
got	VBD	get
called	VBN	call
away	RB	away
4	CD	4
year	NN	year
old	JJ	old
son	NN	son
sat	VBD	sit
type	NN	type
writer	NN	writer
hacked	VBD	hack
ending	VBG	end
ironic	JJ	ironic
titled	VBN	title
"	``	"
the	DT	the
end	NN	end
game	NN	game
"	''	"
poor	JJ	poor
types	NNS	type
"	''	"
a	DT	a
"	``	"
list	NN	list
actors	NNS	actor
"	``	"
b	NN	b
"	''	"
list	NN	list
hurry	NN	hurry
hope	NN	hope
cuba	NN	<unknown>
gooding	VBG	<unknown>
jr	NN	<unknown>
james	NNS	<unknown>
woods	NNS	wood
do	VBP	do
n't	RB	n't
make	VB	make
habit	NN	habit
