my	PP$	my
cambridge	NN	<unknown>
contemporary	JJ	contemporary
simon	NN	<unknown>
heffer	NN	<unknown>
today	NN	today
writer	NN	writer
journalist	NN	journalist
forward	JJ	forward
theory	NN	theory
just	RB	just
as	IN	as
british	JJ	British
film	NN	film
makers	NNS	maker
eighties	NNS	eighty
often	RB	often
critical	JJ	critical
called	VBN	call
"	``	"
thatcher	NN	thatcher
's	POS	's
britain	NN	<unknown>
"	``	"
ealing	NN	<unknown>
comedies	NNS	comedy
intended	VBN	intend
as	IN	as
satires	NNS	satire
"	''	"
attlee	NN	<unknown>
's	POS	's
britain	NN	<unknown>
"	``	"
britain	NN	<unknown>
come	VB	come
labour	NN	labour
victory	NN	victory
1945	CD	@card@
general	JJ	general
election	NN	election
theory	NN	theory
presumably	RB	presumably
not	RB	not
intended	VBD	intend
apply	VB	apply
say	VBP	say
"	``	"
kind	NN	kind
hearts	NNS	heart
coronets	NNS	coronet
"	''	"
satire	NN	satire
edwardian	JJ	Edwardian
upper	JJ	upper
classes	NNS	class
"	``	"
the	DT	the
ladykillers	NNS	ladykiller
"	''	"
"	''	"
the	DT	the
lavender	JJ	lavender
hill	NN	hill
mob	NN	mob
"	''	"
contain	VBP	contain
satire	NN	satire
but	CC	but
not	RB	not
political	JJ	political
nature	NN	nature
however	RB	however
applied	VBD	apply
most	JJS	most
films	NNS	film
series	NN	series
especially	RB	especially
"	''	"
passport	NN	passport
pimlico	NN	<unknown>
"	``	"
pimlico	NN	<unknown>
least	JJS	least
forties	NNS	forty
predominantly	RB	predominantly
working	VBG	work
class	NN	class
district	NN	district
london	NN	<unknown>
set	VBD	set
north	RB	north
bank	NN	bank
thames	NNS	<unknown>
mile	NN	mile
victoria	NN	victoria
station	NN	station
not	RB	not
quite	RB	quite
correct	JJ	correct
say	VBP	say
as	RB	as
often	RB	often
said	VBD	say
film	NN	film
pimlico	NN	<unknown>
"	''	"
declaring	VBG	declare
itself	PP	itself
independent	JJ	independent
"	''	"
britain	NN	<unknown>
happens	VBZ	happen
ancient	JJ	ancient
charter	NN	charter
comes	VBZ	come
light	JJ	light
proving	VBG	prove
fifteenth	JJ	fifteenth
century	NN	century
area	NN	area
ceded	VBD	cede
king	NN	king
edward	JJ	<unknown>
iv	NN	<unknown>
duchy	NN	duchy
burgundy	NN	Burgundy
means	VBZ	mean
technically	RB	technically
pimlico	NN	<unknown>
independent	JJ	independent
state	NN	state
nearly	RB	nearly
years	NNS	year
irrespective	RB	irrespective
wishes	VBZ	wish
inhabitants	NNS	inhabitant
government	NN	government
promise	VBP	promise
pass	VB	pass
special	JJ	special
act	NN	act
parliament	NN	parliament
rectify	VBP	rectify
anomaly	NN	anomaly
but	CC	but
act	NN	act
receives	VBZ	receive
royal	JJ	royal
assent	NN	assent
area	NN	area
remains	VBZ	remain
outside	IN	outside
united	VBN	unite
kingdom	NN	kingdom
british	JJ	British
laws	NNS	law
not	RB	not
apply	VBP	apply
pimlico	NN	<unknown>
not	RB	not
subject	JJ	subject
british	JJ	British
law	NN	law
landlord	NN	landlord
local	JJ	local
pub	NN	pub
free	JJ	free
open	JJ	open
hours	NNS	hour
chooses	VBZ	choose
local	JJ	local
shopkeepers	NNS	shopkeeper
sell	VBP	sell
whomever	WP	whomever
unhindered	JJ	unhindered
rationing	VBG	ration
laws	NNS	law
traders	NNS	trader
start	VBP	start
moving	VBG	move
area	NN	area
sell	VB	sell
goods	NNS	good
streets	NNS	street
british	JJ	British
authorities	NNS	authority
horrified	VBD	horrify
regard	NN	regard
as	IN	as
legalised	VBN	legalise
black	JJ	black
marketeering	NN	marketeering
seal	NN	seal
