i	NP	i
explain	VBP	explain
gave	VBD	give
"	``	"
piece	NN	piece
art	NN	art
"	``	"
1	CD	1
star	NN	star
rating	NN	rating
possible	JJ	possible
10	CD	@card@
simply	RB	simply
it	PP	it
's	VBZ	be
hard	RB	hard
impossible	JJ	impossible
rate	NN	rate
unbiased	JJ	unbiased
probably	RB	probably
given	VBN	give
10	CD	@card@
10	CD	@card@
explanations	NNS	explanation
followed	VBD	follow
not	RB	not
fond	JJ	fond
pointless	JJ	pointless
gore	NN	gore
like	IN	like
hostel	NN	hostel
think	NN	think
that	WDT	that
's	VBZ	be
disgusting	VBG	disgust
pretty	RB	pretty
terrible	JJ	terrible
all	DT	all
possible	JJ	possible
contextual	JJ	contextual
meanings	NNS	meaning
but	CC	but
as	IN	as
watching	VBG	watch
genre	NN	genre
called	VBN	call
"	``	"
historical	JJ	historical
drama	NN	drama
"	''	"
probably	RB	probably
case	NN	case
10	CD	@card@
10	CD	@card@
as	IN	as
plenty	NN	plenty
tarantino	NN	<unknown>
more	RBR	more
than	IN	than
happier	JJR	happy
kill	NN	kill
3	CD	3
spill	NN	spill
more	JJR	more
blood	NN	blood
screen	NN	screen
than	IN	than
possible	JJ	possible
but	CC	but
thing	NN	thing
"	``	"
historical	JJ	historical
drama	NN	drama
"	''	"
genre	NN	genre
it	PP	it
's	VBZ	be
sub	NN	sub
category	NN	category
"	''	"
trash	NN	trash
movies	NNS	movie
"	''	"
john	NN	john
romero	NN	<unknown>
undead	NN	<unknown>
gory	JJ	gory
emperor	NN	emperor
guts	NNS	gut
automatically	RB	automatically
ca	MD	ca
n't	RB	n't
rated	VBN	rate
as	IN	as
default	NN	default
as	IN	as
bad	JJ	bad
purpose	NN	purpose
ca	MD	ca
n't	RB	n't
really	RB	really
tell	VB	tell
comically	RB	comically
bad	JJ	bad
moment	NN	moment
meant	VBD	mean
simply	RB	simply
bad	JJ	bad
it	PP	it
's	VBZ	be
people	NNS	people
like	IN	like
enjoy	VBP	enjoy
bad	JJ	bad
acting	JJ	acting
bad	JJ	bad
screenplay	NN	screenplay
bad	JJ	bad
turn	NN	turn
faith	NN	faith
too	RB	too
days	NNS	day
urge	VBP	urge
seeing	VBG	see
really	RB	really
bad	JJ	bad
look	NN	look
up	IN	up
trash	NN	trash
day	NN	day
saved	VBD	save
but	CC	but
that	DT	that
's	VBZ	be
definitely	RB	definitely
opinion	NN	opinion
does	VBZ	do
n't	RB	n't
match	VB	match
anyones	NN	<unknown>
'	POS	'
wanted	JJ	wanted
say	NN	say
want	VBP	want
watch	VB	watch
terrible	JJ	terrible
fellini	NNS	<unknown>
's	POS	's
casanova	NN	<unknown>
definitely	RB	definitely
choice	NN	choice
but	CC	but
heed	NN	heed
advice	NN	advice
do	VBP	do
n't	RB	n't
rate	NN	rate
default	NN	default
means	VBZ	mean
