yes	UH	yes
love	VB	love
mario	NN	<unknown>
lanza	NN	<unknown>
's	POS	's
skyrocket	NN	skyrocket
fame	NN	fame
still	RB	still
popular	JJ	popular
today	NN	today
voice	NN	voice
strong	JJ	strong
steady	JJ	steady
powerful	JJ	powerful
fact	NN	fact
mgm	NN	<unknown>
decided	VBD	decide
use	VB	use
great	JJ	great
caruso	NN	<unknown>
lanza	NN	<unknown>
himself	PP	himself
thought	VBD	think
reincarnation	NN	reincarnation
caruso	NN	<unknown>
having	VBG	have
read	VBN	read
book	NN	book
kostelanitz	NN	<unknown>
wrote	VBD	write
biography	NN	biography
lanza	NN	<unknown>
explains	VBZ	explain
constant	JJ	constant
practise	VBP	practise
vocal	JJ	vocal
lessons	NNS	lesson
visionary	JJ	visionary
caruso	NN	<unknown>
lanza	NN	<unknown>
no	DT	no
doubt	NN	doubt
lanza	NN	<unknown>
did	VBD	do
superb	JJ	superb
job	NN	job
story	NN	story
but	CC	but
story	NN	story
not	RB	not
entirely	RB	entirely
true	JJ	true
blame	NN	blame
hollywood	NN	<unknown>
used	VBD	use
practise	VB	practise
singing	VBG	sing
songs	NNS	song
years	NNS	year
ago	RB	ago
pretty	RB	pretty
good	JJ	good
myself	PP	myself
lost	VBD	lose
voice	NN	voice
emphysema	NN	emphysema
asthma	NN	asthma
years	NNS	year
ago	RB	ago
reaching	VBG	reach
high	JJ	high
note	NN	note
love	NN	love
not	RB	not
easy	JJ	easy
but	CC	but
beautiful	JJ	beautiful
