i	NP	i
recently	RB	recently
viewed	VBD	view
atrocity	NN	atrocity
film	NN	film
program	NN	program
thought	VBD	think
awful	JJ	awful
as	IN	as
said	VBN	say
tagline	NN	tagline
pretentious	JJ	pretentious
trite	JJ	trite
petty	JJ	petty
phenomenally	RB	phenomenally
self	NN	self
important	JJ	important
consider	VBP	consider
myself	PP	myself
fan	VB	fan
film	NN	film
all	DT	all
things	NNS	thing
film	NN	film
offer	NN	offer
want	VBP	want
watch	VB	watch
documentary	JJ	documentary
cannes	NNS	<unknown>
festival	NN	festival
watch	NN	watch
e	NN	e
probably	RB	probably
alot	NN	<unknown>
more	RBR	more
objective	JJ	objective
dont	NN	<unknown>
recommend	VB	recommend
period	NN	period
