oh	UH	oh
make	VB	make
beauty	NN	beauty
but	CC	but
terribly	RB	terribly
bad	JJ	bad
mean	JJ	mean
uwe	NP	Uwe
boll	NN	boll
does	VBZ	do
n't	RB	n't
make	VB	make
crap	NN	crap
like	VBP	like
not	RB	not
hint	VB	hint
decent	JJ	decent
story	NN	story
multi	NNS	Multi
layered	VBD	layer
characters	NNS	character
attraction	NN	attraction
it	PP	it
's	VBZ	be
just	RB	just
random	JJ	random
sequence	NN	sequence
pointless	JJ	pointless
chatter	NN	chatter
joined	VBD	join
make	NN	make
'	POS	'
movie	NN	movie
'	''	'
suppose	VBP	suppose
children	NNS	child
up	IN	up
3	CD	3
years	NNS	year
age	NN	age
enjoy	VBP	enjoy
given	VBN	give
world	NN	world
utterly	RB	utterly
dimensionless	JJ	dimensionless
story	NN	story
incoherent	JJ	incoherent
older	JJR	old
annoyed	JJ	annoyed
but	CC	but
again	RB	again
it	PP	it
's	VBZ	be
far	RB	far
too	RB	too
scary	JJ	scary
under	IN	under
6	CD	6
years	NNS	year
age	VBP	age
there	EX	there
's	VBZ	be
probably	RB	probably
no	RB	no
watch	VB	watch
all	DT	all
advice	NN	advice
stay	VB	stay
far	RB	far
far	RB	far
away	RB	away
little	JJ	little
daughter	NN	daughter
make	VB	make
better	JJR	good
storyline	NN	storyline
though	IN	though
probably	RB	probably
is	VBZ	be
n't	RB	n't
able	JJ	able
draw	NN	draw
pictures	VBZ	picture
pretty	JJ	pretty
tales	NNS	tale
much	RB	much
more	RBR	more
worth	JJ	worth
listening	NN	listening
believe	VBP	believe
not	RB	not
expose	VB	expose
children	NNS	child
piece	NN	piece
i	NN	i
'll	MD	will
2	CD	2
10	CD	@card@
that	WDT	that
's	VBZ	be
exclusively	RB	exclusively
graphics	NNS	graphics
story	NN	story
character	NN	character
development	NN	development
awful	JJ	awful
they	PP	they
'd	MD	will
deserve	VB	deserve
negative	JJ	negative
rating	NN	rating
decide	VBP	decide
watch	VBP	watch
anyways	RB	anyways
remember	VB	remember
warned	VBN	warn
