this	DT	this
not	RB	not
based	VBN	base
bible	NN	bible
completely	RB	completely
leaves	VBZ	leave
christ	NN	<unknown>
not	RB	not
rapture	VBP	rapture
second	JJ	second
coming	VBG	come
christ	NN	<unknown>
let	VBD	let
talk	NN	talk
it	PP	it
does	VBZ	do
not	RB	not
quote	VB	quote
scriptures	NNS	scripture
end	NN	end
times	NNS	time
called	VBD	call
great	JJ	great
tribulation	NN	tribulation
does	VBZ	do
not	RB	not
bad	JJ	bad
times	NNS	time
seven	CD	seven
bowls	NN	bowls
seven	CD	seven
viles	NNS	<unknown>
seven	CD	seven
trumpets	NNS	trumpet
judgements	NNS	judgement
boiled	VBD	boil
15	CD	@card@
second	JJ	second
news	NN	news
cast	NN	cast
sea	NN	sea
changing	VBG	change
it	PP	it
's	POS	's
structure	NN	structure
anti	NN	anti
christ	NN	<unknown>
killed	VBD	kill
3	CD	3
1	CD	1
2	CD	2
years	NNS	year
tribulation	NN	tribulation
ended	VBD	end
got	VBN	get
correct	JJ	correct
was	VBD	be
prophets	NNS	prophet
did	VBD	do
not	RB	not
use	VB	use
names	NNS	name
course	NN	course
too	RB	too
close	JJ	close
truth	NN	truth
scriptures	NNS	scripture
worst	RB	worst
really	RB	really
wanted	VBD	want
good	JJ	good
wanted	VBD	want
unsaved	JJ	<unknown>
people	NNS	people
feel	VBP	feel
evil	RB	evil
counterfeit	VB	counterfeit
just	RB	just
like	IN	like
devil	NN	devil
does	VBZ	do
just	RB	just
hope	NN	hope
does	VBZ	do
not	RB	not
away	RB	away
upcoming	JJ	upcoming
based	VBN	base
left	JJ	left
books	NNS	book
second	JJ	second
problem	NN	problem
just	RB	just
bad	JJ	bad
bad	JJ	bad
acting	JJ	acting
bad	JJ	bad
special	JJ	special
effects	NNS	effect
bad	JJ	bad
plot	NN	plot
poor	JJ	poor
character	NN	character
development	NN	development
seen	VBN	see
better	JJR	good
episodes	NNS	episode
miami	NNS	<unknown>
vice	JJ	vice
