it	PP	it
's	VBZ	be
amazing	VBG	amaze
good	JJ	good
though	IN	though
not	RB	not
wonderful	JJ	wonderful
film	NN	film
early	JJ	early
nineties	NNS	ninety
whole	JJ	whole
franchise	NN	franchise
grow	VBP	grow
'	POS	'
stargate	NN	<unknown>
sg1	NN	<unknown>
'	POS	'
doubt	NN	doubt
worthy	JJ	worthy
addition	NN	addition
science	NN	science
fiction	NN	fiction
genre	NN	genre
right	RB	right
stand	VBP	stand
shoulder	NN	shoulder
shoulder	NN	shoulder
'	POS	'
star	NN	star
trek	NN	trek
'	''	'
as	IN	as
kings	NNS	king
sci	NN	<unknown>
fi	NNS	<unknown>
following	VBG	follow
1994	CD	@card@
feature	NN	feature
film	NN	film
'	POS	'
stargate	NNS	<unknown>
'	POS	'
series	NN	series
sees	VBZ	see
stargate	RB	<unknown>
command	VB	command
military	JJ	military
science	NN	science
organisation	NN	organisation
figuring	VBG	figure
stargate	NNS	<unknown>
used	VBN	use
travel	VBP	travel
various	JJ	various
planets	NNS	planet
galaxy	NN	galaxy
military	NN	military
sets	VBZ	set
up	RP	up
number	NN	number
teams	NNS	team
explore	VBP	explore
sg1	JJ	<unknown>
team	NN	team
headed	VBD	head
military	JJ	military
veteran	JJ	veteran
colonel	NN	colonel
jack	NN	jack
o'neill	NN	<unknown>
includes	VBZ	include
archaeologist	NN	archaeologist
doctor	NN	doctor
daniel	NN	Daniel
jackson	NN	<unknown>
military	JJ	military
scientist	NN	scientist
captain	NN	captain
samantha	NN	<unknown>
carter	NN	carter
alien	JJ	alien
teal'c	NN	<unknown>
betrayed	VBN	betray
overlord	NN	overlord
leaders	NNS	leader
hopes	VBZ	hope
day	NN	day
freeing	NN	freeing
people	NNS	people
earth	NN	earth
quickly	RB	quickly
makes	VBZ	make
enemy	NN	enemy
goa'uld	NN	<unknown>
parasitic	JJ	parasitic
race	NN	race
use	NN	use
humans	NNS	human
as	IN	as
hosts	NNS	host
think	VBP	think
equal	JJ	equal
gods	NNS	god
top	JJ	top
notch	NN	notch
cast	NN	cast
much	RB	much
congratulated	VBD	congratulate
bringing	VBG	bring
life	NN	life
richard	NN	<unknown>
dean	NN	dean
anderson	NN	<unknown>
perfect	JJ	perfect
as	IN	as
cynical	JJ	cynical
sarcastic	JJ	sarcastic
o'neill	NN	<unknown>
shift	NN	shift
boyish	JJ	boyish
deadly	JJ	deadly
blink	NN	blink
eye	NN	eye
michael	NN	<unknown>
shanks	NNS	shank
as	IN	as
daniel	NN	Daniel
brings	VBZ	bring
heart	NN	heart
steel	NN	steel
character	NN	character
grown	VBN	grow
wide	JJ	wide
eyed	JJ	eyed
innocence	NN	innocence
darker	JJR	dark
more	RBR	more
hard	RB	hard
bitten	VBN	bite
as	IN	as
progressed	VBN	progress
amanda	NNS	<unknown>
tapping	VBG	tap
as	IN	as
carter	NN	carter
perfected	VBN	perfect
balance	NN	balance
depicting	VBG	depict
character	NN	character
's	POS	's
femininity	NN	femininity
comprising	VBG	comprise
fact	NN	fact
strong	JJ	strong
intelligent	JJ	intelligent
military	JJ	military
scientist	NN	scientist
christopher	NN	<unknown>
judge	NN	judge
excellent	JJ	excellent
as	IN	as
aloof	JJ	aloof
teal'c	NN	<unknown>
able	JJ	able
depict	VBP	depict
character	NN	character
's	POS	's
emotions	NNS	emotion
subtlety	NN	subtlety
don	NN	don
s	NN	S
davis	NNS	<unknown>
perfect	JJ	perfect
as	IN	as
esteemed	VBN	esteem
general	JJ	general
hammond	NN	<unknown>
leads	VBZ	lead
good	JJ	good
balance	NN	balance
fairness	NN	fairness
firmness	NN	firmness
almost	RB	almost
all	DT	all
episodes	NNS	episode
are	VBP	be
involving	VBG	involve
portrayed	VBN	portray
intelligence	NN	intelligence
reflecting	VBG	reflect
moral	JJ	moral
dilemmas	NNS	dilemma
as	RB	as
well	RB	well
as	IN	as
friction	NN	friction
military	JJ	military
interests	NNS	interest
civilian	JJ	civilian
beliefs	NNS	belief
often	RB	often
shown	VBN	show
arguments	NNS	argument
o'neill	NN	<unknown>
jackson	NN	<unknown>
guest	NN	guest
characters	NNS	character
solidly	RB	solidly
depicted	VBN	depict
story	NN	story
arcs	NNS	arc
handled	VBN	handle
manner	NN	manner
does	VBZ	do
n't	RB	n't
bore	VB	bore
viewers	NNS	viewer
sg1	NN	<unknown>
excels	VBZ	excel
humour	NN	humour
o'neill	NN	<unknown>
's	POS	's
wisecracks	NNS	wisecrack
episodes	NNS	episode
just	RB	just
wacky	JJ	wacky
odd	JJ	odd
sg1	JJ	<unknown>
action	NN	action
drama	NN	drama
romance	NN	romance
suspense	NN	suspense
heartbreaking	JJ	heartbreaking
scenes	NNS	scene
death	NN	death
is	VBZ	be
n't	RB	n't
just	RB	just
excellent	JJ	excellent
sci	NN	<unknown>
fi	NNS	<unknown>
but	CC	but
excellent	JJ	excellent
overall	JJ	overall
