what	WP	what
thinking	NN	thinking
"	``	"
cannes	NNS	<unknown>
"	''	"
most	JJS	most
irritating	VBG	irritate
films	NNS	film
all	DT	all
time	NN	time
film	NN	film
no	DT	no
matter	NN	matter
meaningless	JJ	meaningless
shown	VBN	show
watch	NN	watch
boots	VBZ	boot
more	JJR	more
time	NN	time
think	NN	think
shouted	VBD	shout
point	NN	point
film	NN	film
pathetic	JJ	pathetic
life	NN	life
rosetta	NN	<unknown>
covered	VBD	cover
minutes	NNS	minute
credits	NNS	credit
running	VBG	run
but	CC	but
no	DT	no
countless	JJ	countless
redundant	JJ	redundant
scenes	NNS	scene
over	IN	over
whole	JJ	whole
thing	NN	thing
filled	VBN	fill
likeable	JJ	likeable
unsympathetic	JJ	unsympathetic
characters	NNS	character
deserved	VBD	deserve
misery	NN	misery
rosetta	NNS	<unknown>
think	VBP	think
passed	VBN	pass
up	RP	up
"	``	"
tumbleweeds	NNS	tumbleweed
"	''	"
hyped	NN	hyped
film	NN	film
boredom	NN	boredom
like	IN	like
watching	VBG	watch
grass	NN	grass
grow	VB	grow
more	RBR	more
exciting	JJ	exciting
